Date,Date Key,Month Key,Month,Quarter,Year,Year Quarter,Year Month,Year Month Key,Day Of Week Key,Day Of Week,Day Of Month
01-Jan-2019,20190101,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,3,Tue,1
02-Jan-2019,20190102,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,4,Wed,2
03-Jan-2019,20190103,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,5,Thu,3
04-Jan-2019,20190104,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,6,Fri,4
05-Jan-2019,20190105,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,7,Sat,5
06-Jan-2019,20190106,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,1,Sun,6
07-Jan-2019,20190107,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,2,Mon,7
08-Jan-2019,20190108,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,3,Tue,8
09-Jan-2019,20190109,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,4,Wed,9
10-Jan-2019,20190110,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,5,Thu,10
11-Jan-2019,20190111,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,6,Fri,11
12-Jan-2019,20190112,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,7,Sat,12
13-Jan-2019,20190113,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,1,Sun,13
14-Jan-2019,20190114,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,2,Mon,14
15-Jan-2019,20190115,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,3,Tue,15
16-Jan-2019,20190116,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,4,Wed,16
17-Jan-2019,20190117,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,5,Thu,17
18-Jan-2019,20190118,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,6,Fri,18
19-Jan-2019,20190119,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,7,Sat,19
20-Jan-2019,20190120,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,1,Sun,20
21-Jan-2019,20190121,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,2,Mon,21
22-Jan-2019,20190122,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,3,Tue,22
23-Jan-2019,20190123,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,4,Wed,23
24-Jan-2019,20190124,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,5,Thu,24
25-Jan-2019,20190125,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,6,Fri,25
26-Jan-2019,20190126,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,7,Sat,26
27-Jan-2019,20190127,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,1,Sun,27
28-Jan-2019,20190128,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,2,Mon,28
29-Jan-2019,20190129,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,3,Tue,29
30-Jan-2019,20190130,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,4,Wed,30
31-Jan-2019,20190131,1,Jan,Q1,2019,2019 Q1,2019 Jan,201901,5,Thu,31
01-Feb-2019,20190201,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,6,Fri,1
02-Feb-2019,20190202,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,7,Sat,2
03-Feb-2019,20190203,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,1,Sun,3
04-Feb-2019,20190204,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,2,Mon,4
05-Feb-2019,20190205,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,3,Tue,5
06-Feb-2019,20190206,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,4,Wed,6
07-Feb-2019,20190207,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,5,Thu,7
08-Feb-2019,20190208,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,6,Fri,8
09-Feb-2019,20190209,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,7,Sat,9
10-Feb-2019,20190210,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,1,Sun,10
11-Feb-2019,20190211,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,2,Mon,11
12-Feb-2019,20190212,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,3,Tue,12
13-Feb-2019,20190213,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,4,Wed,13
14-Feb-2019,20190214,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,5,Thu,14
15-Feb-2019,20190215,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,6,Fri,15
16-Feb-2019,20190216,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,7,Sat,16
17-Feb-2019,20190217,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,1,Sun,17
18-Feb-2019,20190218,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,2,Mon,18
19-Feb-2019,20190219,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,3,Tue,19
20-Feb-2019,20190220,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,4,Wed,20
21-Feb-2019,20190221,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,5,Thu,21
22-Feb-2019,20190222,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,6,Fri,22
23-Feb-2019,20190223,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,7,Sat,23
24-Feb-2019,20190224,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,1,Sun,24
25-Feb-2019,20190225,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,2,Mon,25
26-Feb-2019,20190226,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,3,Tue,26
27-Feb-2019,20190227,2,Feb,Q1,2019,2019 Q1,2019 Feb,201902,4,Wed,27
