Date,BookId,P&L,VaRLower
01/01/2018,1,-0.595020583,
01/01/2018,2,-1.937674464,
01/01/2018,3,5.525086703,
01/01/2018,4,7.23283437,
01/01/2018,5,8.597028217,
01/01/2018,6,5.820321164,
01/01/2018,7,-16.1110495,
01/01/2018,8,23.37767151,
01/01/2018,9,3.518473103,
01/01/2018,10,-9.511173929,
01/01/2018,11,-27.87492111,
01/01/2018,12,-45.01185672,
01/01/2018,13,50.35744327,
01/01/2018,14,11.04691745,
01/01/2018,15,6.410050609,
01/01/2018,16,44.53017469,
01/01/2018,17,-11.22272844,
01/01/2018,18,76.38312899,
01/01/2018,19,85.21079618,
01/01/2018,20,-41.54281255,
01/01/2018,21,15.66771281,
01/01/2018,22,42.08561695,
01/01/2018,23,-39.87393507,
01/01/2018,24,-89.20574001,
01/01/2018,25,56.65457291,
01/01/2018,26,32.49951834,
01/01/2018,27,136.5499592,
02/01/2018,1,1.087515781,
02/01/2018,2,10.3472484,
02/01/2018,3,-3.443337191,
02/01/2018,4,3.013695304,
02/01/2018,5,-1.319705229,
02/01/2018,6,-8.558010239,
02/01/2018,7,20.29337498,
02/01/2018,8,18.3575309,
02/01/2018,9,-22.77566161,
02/01/2018,10,-34.02769811,
02/01/2018,11,-36.31642177,
02/01/2018,12,-55.00616169,
02/01/2018,13,36.40675028,
02/01/2018,14,9.949460655,
02/01/2018,15,-17.62287716,
02/01/2018,16,-26.12099147,
02/01/2018,17,10.9620541,
02/01/2018,18,44.68008782,
02/01/2018,19,-27.98262811,
02/01/2018,20,-51.82505161,
02/01/2018,21,-11.26475533,
02/01/2018,22,29.11312695,
02/01/2018,23,-19.13114528,
02/01/2018,24,-106.1483855,
02/01/2018,25,26.07300713,
02/01/2018,26,-169.8532011,
02/01/2018,27,-193.3940618,
03/01/2018,1,9.239496403,
03/01/2018,2,1.755922595,
03/01/2018,3,-1.410569332,
03/01/2018,4,15.82217711,
03/01/2018,5,5.564870491,
03/01/2018,6,27.29784493,
03/01/2018,7,-18.57170324,
03/01/2018,8,1.069714563,
03/01/2018,9,-2.316034469,
03/01/2018,10,2.730084543,
03/01/2018,11,-39.97632807,
03/01/2018,12,-11.34464864,
03/01/2018,13,-6.142593191,
03/01/2018,14,14.92245081,
03/01/2018,15,29.89101333,
03/01/2018,16,8.515950225,
03/01/2018,17,-54.43353105,
03/01/2018,18,48.4571927,
03/01/2018,19,-27.34750702,
03/01/2018,20,-34.46619943,
03/01/2018,21,18.65496247,
03/01/2018,22,21.53673521,
03/01/2018,23,30.83146194,
03/01/2018,24,48.89590057,
03/01/2018,25,66.90117354,
03/01/2018,26,29.61541363,
03/01/2018,27,-115.4213579,
04/01/2018,1,9.285537621,
04/01/2018,2,2.711952335,
04/01/2018,3,-3.678170976,
04/01/2018,4,1.594832451,
04/01/2018,5,-0.471912415,
04/01/2018,6,-26.86621505,
04/01/2018,7,-13.07437484,
04/01/2018,8,-22.66619496,
04/01/2018,9,-4.11002906,
04/01/2018,10,4.913516271,
04/01/2018,11,11.93116471,
04/01/2018,12,-8.947127419,
04/01/2018,13,-12.80860265,
04/01/2018,14,-0.758005574,
04/01/2018,15,16.29426558,
04/01/2018,16,-31.82142182,
04/01/2018,17,1.461656118,
04/01/2018,18,-65.06817984,
04/01/2018,19,-12.78346183,
04/01/2018,20,61.83625396,
04/01/2018,21,10.05708015,
04/01/2018,22,-28.09012328,
04/01/2018,23,-1.668511904,
04/01/2018,24,-61.09580652,
04/01/2018,25,-126.9403201,
04/01/2018,26,51.70274923,
04/01/2018,27,-62.87899658,
05/01/2018,1,-2.372993686,
05/01/2018,2,-19.41113558,
05/01/2018,3,-7.039008468,
05/01/2018,4,10.57493793,
05/01/2018,5,2.16987762,
05/01/2018,6,0.356278717,
05/01/2018,7,1.176804551,
05/01/2018,8,12.29481914,
05/01/2018,9,-10.69538841,
05/01/2018,10,13.67920458,
05/01/2018,11,13.19843229,
05/01/2018,12,-15.83056688,
05/01/2018,13,-2.681064438,
05/01/2018,14,-32.0270257,
05/01/2018,15,9.633147399,
05/01/2018,16,-7.812101621,
05/01/2018,17,-8.713495769,
05/01/2018,18,63.8104108,
05/01/2018,19,0.283537524,
05/01/2018,20,25.49162888,
05/01/2018,21,-58.93992295,
05/01/2018,22,87.24345097,
05/01/2018,23,16.11536099,
05/01/2018,24,-0.782153085,
05/01/2018,25,-57.23956081,
05/01/2018,26,-222.5157484,
05/01/2018,27,28.33012857,
06/01/2018,1,-7.942814649,
06/01/2018,2,20.22374511,
06/01/2018,3,1.328117495,
06/01/2018,4,6.352631835,
06/01/2018,5,6.861394833,
06/01/2018,6,12.12784729,
06/01/2018,7,6.365558533,
06/01/2018,8,3.062681506,
06/01/2018,9,22.2031152,
06/01/2018,10,39.15203191,
06/01/2018,11,11.50787643,
06/01/2018,12,37.08897078,
06/01/2018,13,27.48463931,
06/01/2018,14,6.422937264,
06/01/2018,15,75.9386289,
06/01/2018,16,-6.797509057,
06/01/2018,17,25.85437605,
06/01/2018,18,-40.79680274,
06/01/2018,19,-58.05916348,
06/01/2018,20,6.001863811,
06/01/2018,21,43.22855446,
06/01/2018,22,6.607435732,
06/01/2018,23,35.62473257,
06/01/2018,24,-113.3416068,
06/01/2018,25,38.50595768,
06/01/2018,26,106.0789948,
06/01/2018,27,106.416023,
07/01/2018,1,7.341718917,
07/01/2018,2,-6.02681239,
07/01/2018,3,-12.83855713,
07/01/2018,4,7.179050533,
07/01/2018,5,-0.917256886,
07/01/2018,6,19.46437093,
07/01/2018,7,11.62973667,
07/01/2018,8,48.90598518,
07/01/2018,9,4.769865561,
07/01/2018,10,-30.99645054,
07/01/2018,11,35.95929007,
07/01/2018,12,44.91683605,
07/01/2018,13,-24.93122066,
07/01/2018,14,11.28157773,
07/01/2018,15,5.465086994,
07/01/2018,16,9.613369843,
