Borough,Inner Or Outer,Area
Barking and Dagenham,Outer,East
Barnet,Inner,North
Bexley,Inner,East
Brent,Inner,North
Bromley,Outer,South
Camden,Inner,North
City of London,Inner,Central
Croydon,Outer,South
Ealing,Outer,West
Enfield,Outer,North
Greenwich,Inner,East
Hackney,Inner,North
Hammersmith and Fulham,Inner,West
Haringey,Inner,North
Harrow,Outer,West
Havering,Outer,East
Hillingdon,Outer,East
Hounslow,Outer,West
Islington,Inner,North
Kensington and Chelsea,Inner,Central
Kingston upon Thames,Outer,West
Lambeth,Inner,South
Lewisham,Inner,South
Merton,Outer,South
Newham,Inner,East
Redbridge,Outer,North
Richmond upon Thames,Outer,West
Southwark,Inner,South
Sutton,Outer,South
Tower Hamlets,Inner,East
Waltham Forest,Outer,North
Wandsworth,Inner,West
Westminster,Inner,Central
