MSOACode,MSOAName,Borough,LAD11CD
E02000001,City of London 001,City of London,E09000001
E02000002,Barking and Dagenham 001,Barking and Dagenham,E09000002
E02000003,Barking and Dagenham 002,Barking and Dagenham,E09000002
E02000004,Barking and Dagenham 003,Barking and Dagenham,E09000002
E02000005,Barking and Dagenham 004,Barking and Dagenham,E09000002
E02000007,Barking and Dagenham 006,Barking and Dagenham,E09000002
E02000008,Barking and Dagenham 007,Barking and Dagenham,E09000002
E02000009,Barking and Dagenham 008,Barking and Dagenham,E09000002
E02000010,Barking and Dagenham 009,Barking and Dagenham,E09000002
E02000011,Barking and Dagenham 010,Barking and Dagenham,E09000002
E02000012,Barking and Dagenham 011,Barking and Dagenham,E09000002
E02000013,Barking and Dagenham 012,Barking and Dagenham,E09000002
E02000014,Barking and Dagenham 013,Barking and Dagenham,E09000002
E02000015,Barking and Dagenham 014,Barking and Dagenham,E09000002
E02000016,Barking and Dagenham 015,Barking and Dagenham,E09000002
E02000017,Barking and Dagenham 016,Barking and Dagenham,E09000002
E02000018,Barking and Dagenham 017,Barking and Dagenham,E09000002
E02000019,Barking and Dagenham 018,Barking and Dagenham,E09000002
E02000020,Barking and Dagenham 019,Barking and Dagenham,E09000002
E02000021,Barking and Dagenham 020,Barking and Dagenham,E09000002
E02000022,Barking and Dagenham 021,Barking and Dagenham,E09000002
E02000023,Barking and Dagenham 022,Barking and Dagenham,E09000002
E02000024,Barnet 001,Barnet,E09000003
E02000025,Barnet 002,Barnet,E09000003
E02000026,Barnet 003,Barnet,E09000003
E02000027,Barnet 004,Barnet,E09000003
E02000028,Barnet 005,Barnet,E09000003
E02000029,Barnet 006,Barnet,E09000003
E02000030,Barnet 007,Barnet,E09000003
E02000031,Barnet 008,Barnet,E09000003
E02000032,Barnet 009,Barnet,E09000003
E02000033,Barnet 010,Barnet,E09000003
E02000034,Barnet 011,Barnet,E09000003
E02000035,Barnet 012,Barnet,E09000003
E02000036,Barnet 013,Barnet,E09000003
E02000037,Barnet 014,Barnet,E09000003
E02000038,Barnet 015,Barnet,E09000003
E02000039,Barnet 016,Barnet,E09000003
E02000040,Barnet 017,Barnet,E09000003
E02000041,Barnet 018,Barnet,E09000003
E02000042,Barnet 019,Barnet,E09000003
E02000043,Barnet 020,Barnet,E09000003
E02000044,Barnet 021,Barnet,E09000003
E02000045,Barnet 022,Barnet,E09000003
E02000046,Barnet 023,Barnet,E09000003
E02000047,Barnet 024,Barnet,E09000003
E02000048,Barnet 025,Barnet,E09000003
E02000049,Barnet 026,Barnet,E09000003
E02000050,Barnet 027,Barnet,E09000003
E02000051,Barnet 028,Barnet,E09000003
E02000052,Barnet 029,Barnet,E09000003
E02000053,Barnet 030,Barnet,E09000003
E02000054,Barnet 031,Barnet,E09000003
E02000055,Barnet 032,Barnet,E09000003
E02000056,Barnet 033,Barnet,E09000003
E02000057,Barnet 034,Barnet,E09000003
E02000058,Barnet 035,Barnet,E09000003
E02000059,Barnet 036,Barnet,E09000003
E02000060,Barnet 037,Barnet,E09000003
E02000061,Barnet 038,Barnet,E09000003
E02000062,Barnet 039,Barnet,E09000003
E02000063,Barnet 040,Barnet,E09000003
E02000064,Barnet 041,Barnet,E09000003
E02000065,Bexley 001,Bexley,E09000004
E02000066,Bexley 002,Bexley,E09000004
E02000067,Bexley 003,Bexley,E09000004
E02000068,Bexley 004,Bexley,E09000004
E02000069,Bexley 005,Bexley,E09000004
E02000070,Bexley 006,Bexley,E09000004
E02000071,Bexley 007,Bexley,E09000004
E02000072,Bexley 008,Bexley,E09000004
E02000073,Bexley 009,Bexley,E09000004
E02000074,Bexley 010,Bexley,E09000004
E02000075,Bexley 011,Bexley,E09000004
E02000077,Bexley 013,Bexley,E09000004
E02000078,Bexley 014,Bexley,E09000004
E02000079,Bexley 015,Bexley,E09000004
E02000080,Bexley 016,Bexley,E09000004
E02000081,Bexley 017,Bexley,E09000004
E02000082,Bexley 018,Bexley,E09000004
E02000083,Bexley 019,Bexley,E09000004
E02000084,Bexley 020,Bexley,E09000004
E02000085,Bexley 021,Bexley,E09000004
E02000086,Bexley 022,Bexley,E09000004
E02000087,Bexley 023,Bexley,E09000004
E02000088,Bexley 024,Bexley,E09000004
E02000089,Bexley 025,Bexley,E09000004
E02000090,Bexley 026,Bexley,E09000004
E02000091,Bexley 027,Bexley,E09000004
E02000092,Bexley 028,Bexley,E09000004
E02000093,Brent 001,Brent,E09000005
E02000094,Brent 002,Brent,E09000005
E02000095,Brent 003,Brent,E09000005
