Product Key,Product Name,Product Type,Product Category,Unit Cost,Unit Price,Weight
1,Americano,Coffee,Regular,1.76,2.1,100
2,Filter,Coffee,Regular,1.74,2.2,60
3,Flat White,Coffee,Indulgence,1.5,3.99,150
4,Capuccino,Coffee,Indulgence,1.8,3.4,25
5,Earl Grey,Tea,Indulgence,2,2.5,70
6,PG Tips,Tea,Spartan,1.53,2.6,50
7,Darjeeling,Tea,HomeMade,2.03,2.7,110
8,English Breakfast,Tea,Indulgence,2.16,3.8,145
9,Orange,Juice,Regular,2.23,2.9,200
10,Apple,Juice,Indulgence,2.64,3,170
11,Cranberry,Juice,HomeMade,2.26,3.1,87
12,Grapefruit,Juice,Indulgence,2.4,3.5,36
13,Sparkling,Water,Regular,1.88,3.3,111
14,French Mountain Water,Water,Active,2.58,3.4,45
15,London Tap Water,Water,HomeMade,0.01,1.5,20
16,Lemon Water,Water,Active,0.5,3.6,15
