TransactionKey,Transaction Date,Customer Code,Product Key,Number Of Units
2995,01-Jan-2018,Z100963,3,1
6084,01-Jan-2018,Z100185,3,5
7040,01-Jan-2018,Z100478,13,1
10221,01-Jan-2018,Z100227,9,3
10573,01-Jan-2018,Z100896,7,5
11635,01-Jan-2018,Z100606,7,1
13356,01-Jan-2018,Z100419,3,1
15733,01-Jan-2018,Z100742,13,2
15874,01-Jan-2018,Z100318,12,4
17635,01-Jan-2018,Z100894,3,2
17753,01-Jan-2018,Z100875,6,3
18387,01-Jan-2018,Z100953,9,2
20327,01-Jan-2018,Z100665,6,2
21902,01-Jan-2018,Z100508,7,1
21930,01-Jan-2018,Z100609,13,1
22198,01-Jan-2018,Z100189,9,1
22929,01-Jan-2018,Z100039,3,10
25219,01-Jan-2018,Z100906,8,1
26584,01-Jan-2018,Z100606,2,1
28470,01-Jan-2018,Z100417,8,1
29005,01-Jan-2018,Z100154,10,4
29305,01-Jan-2018,Z100236,11,3
30974,01-Jan-2018,Z100920,3,2
32502,01-Jan-2018,Z100372,3,4
36709,01-Jan-2018,Z100112,2,2
37320,01-Jan-2018,Z100862,9,5
40654,01-Jan-2018,Z100031,9,3
41906,01-Jan-2018,Z100739,10,1
41981,01-Jan-2018,Z100050,10,4
44131,01-Jan-2018,Z100159,8,1
44191,01-Jan-2018,Z100158,10,2
44961,01-Jan-2018,Z100450,10,2
45665,01-Jan-2018,Z100406,13,2
47478,01-Jan-2018,Z100619,2,1
50401,01-Jan-2018,Z100916,5,2
50720,01-Jan-2018,Z100202,3,2
52811,01-Jan-2018,Z100914,9,3
55794,01-Jan-2018,Z100123,8,10
57089,01-Jan-2018,Z100074,10,2
59059,01-Jan-2018,Z100738,13,1
67667,01-Jan-2018,Z100374,15,1
67722,01-Jan-2018,Z100282,2,1
68072,01-Jan-2018,Z100488,9,5
68159,01-Jan-2018,Z100512,7,3
69448,01-Jan-2018,Z100317,6,10
71245,01-Jan-2018,Z100916,5,3
74867,01-Jan-2018,Z100042,10,4
75881,01-Jan-2018,Z100587,5,10
76483,01-Jan-2018,Z100249,11,2
78217,01-Jan-2018,Z100605,8,1
80382,01-Jan-2018,Z100770,9,2
81548,01-Jan-2018,Z100241,9,1
82029,01-Jan-2018,Z100079,10,2
82392,01-Jan-2018,Z100159,5,3
86079,01-Jan-2018,Z100611,13,2
86549,01-Jan-2018,Z100965,12,1
92213,01-Jan-2018,Z100783,1,5
95695,01-Jan-2018,Z100713,13,2
96788,01-Jan-2018,Z100972,7,2
97025,01-Jan-2018,Z100876,8,4
97327,01-Jan-2018,Z100592,3,2
98583,01-Jan-2018,Z100253,1,5
99707,01-Jan-2018,Z100819,3,3
1238,02-Jan-2018,Z100595,1,1
3115,02-Jan-2018,Z100309,2,1
4736,02-Jan-2018,Z100755,3,5
5288,02-Jan-2018,Z100932,9,1
6824,02-Jan-2018,Z100373,10,2
8506,02-Jan-2018,Z100583,10,1
10513,02-Jan-2018,Z100781,10,3
11045,02-Jan-2018,Z100715,1,1
14325,02-Jan-2018,Z100241,13,1
19224,02-Jan-2018,Z100337,14,5
19965,02-Jan-2018,Z100893,7,5
25195,02-Jan-2018,Z100237,7,5
26843,02-Jan-2018,Z100874,11,1
27198,02-Jan-2018,Z100738,10,5
28338,02-Jan-2018,Z100731,9,3
28643,02-Jan-2018,Z100291,9,5
29659,02-Jan-2018,Z100069,10,1
31000,02-Jan-2018,Z100582,13,1
32056,02-Jan-2018,Z100866,5,3
32115,02-Jan-2018,Z100195,8,2
33033,02-Jan-2018,Z100677,7,1
33213,02-Jan-2018,Z100500,12,1
33422,02-Jan-2018,Z100942,10,5
34479,02-Jan-2018,Z100134,8,2
39357,02-Jan-2018,Z100308,12,4
40786,02-Jan-2018,Z100997,13,1
41294,02-Jan-2018,Z100287,1,5
41989,02-Jan-2018,Z100918,10,1
44313,02-Jan-2018,Z100293,3,2
44595,02-Jan-2018,Z100428,6,1
45069,02-Jan-2018,Z100939,14,1
47942,02-Jan-2018,Z100508,6,4
48906,02-Jan-2018,Z100318,3,1
50903,02-Jan-2018,Z100746,8,10
52368,02-Jan-2018,Z100357,7,4
52659,02-Jan-2018,Z100221,1,2
55875,02-Jan-2018,Z100675,13,1
56605,02-Jan-2018,Z100121,10,4
66131,02-Jan-2018,Z100676,10,3
68125,02-Jan-2018,Z100993,13,2
69519,02-Jan-2018,Z100932,2,1
71293,02-Jan-2018,Z100071,11,2
73736,02-Jan-2018,Z100903,11,3
74582,02-Jan-2018,Z100233,11,5
74675,02-Jan-2018,Z100521,13,2
75797,02-Jan-2018,Z100113,6,4
76280,02-Jan-2018,Z100249,12,5
77400,02-Jan-2018,Z100276,9,10
78394,02-Jan-2018,Z100452,13,5
79094,02-Jan-2018,Z100363,11,2
82608,02-Jan-2018,Z100310,9,4
83931,02-Jan-2018,Z100406,9,1
88549,02-Jan-2018,Z100140,14,10
88763,02-Jan-2018,Z100909,5,4
89813,02-Jan-2018,Z100151,9,2
89958,02-Jan-2018,Z100047,10,3
91985,02-Jan-2018,Z100140,8,2
94557,02-Jan-2018,Z100729,9,4
97526,02-Jan-2018,Z100575,9,2
98160,02-Jan-2018,Z100595,13,1
98997,02-Jan-2018,Z100430,2,2
99838,02-Jan-2018,Z100319,13,4
1618,03-Jan-2018,Z100503,5,1
2256,03-Jan-2018,Z100673,13,3
2758,03-Jan-2018,Z100132,12,1
3435,03-Jan-2018,Z100282,16,1
5003,03-Jan-2018,Z100925,5,1
5924,03-Jan-2018,Z100970,14,1
6965,03-Jan-2018,Z100111,11,1
7543,03-Jan-2018,Z100560,10,2
8070,03-Jan-2018,Z100747,3,4
8612,03-Jan-2018,Z100547,5,5
13539,03-Jan-2018,Z100230,14,1
14317,03-Jan-2018,Z100738,1,3
14709,03-Jan-2018,Z100881,9,5
15076,03-Jan-2018,Z100275,11,1
16318,03-Jan-2018,Z100945,7,2
18642,03-Jan-2018,Z100077,8,1
20848,03-Jan-2018,Z100558,11,3
23169,03-Jan-2018,Z100562,10,1
23314,03-Jan-2018,Z100243,8,1
24146,03-Jan-2018,Z100420,8,4
24750,03-Jan-2018,Z100611,10,3
25091,03-Jan-2018,Z100180,16,1
26514,03-Jan-2018,Z100709,3,10
28342,03-Jan-2018,Z100164,3,1
29054,03-Jan-2018,Z100228,13,10
30433,03-Jan-2018,Z100222,7,10
32390,03-Jan-2018,Z100923,3,3
35945,03-Jan-2018,Z100938,1,2
36431,03-Jan-2018,Z100214,3,1
36835,03-Jan-2018,Z100433,11,1
37170,03-Jan-2018,Z100632,13,1
38273,03-Jan-2018,Z100623,9,2
38939,03-Jan-2018,Z100245,12,1
40307,03-Jan-2018,Z100546,7,2
40885,03-Jan-2018,Z100131,13,2
41522,03-Jan-2018,Z100902,5,2
42069,03-Jan-2018,Z100378,9,1
42434,03-Jan-2018,Z100224,1,3
42912,03-Jan-2018,Z100174,11,3
43173,03-Jan-2018,Z100060,12,1
45669,03-Jan-2018,Z100823,9,2
47072,03-Jan-2018,Z100999,8,1
47901,03-Jan-2018,Z100589,7,10
50506,03-Jan-2018,Z100940,3,1
51031,03-Jan-2018,Z100987,9,10
51602,03-Jan-2018,Z100069,3,5
52573,03-Jan-2018,Z100344,13,10
52751,03-Jan-2018,Z100830,14,1
53598,03-Jan-2018,Z100830,9,5
