Date,Month,MonthKey,Quarter,Year,WeekDay,WeekDayKey,Day Of Month,Year Quarter,Year Month,YearMonthKey,FinancialYear
01-Jan-20,Jan,1,Q1,2020,Wed,4,1,2020 Q1,2020 Jan,202001,2019-2020
02-Jan-20,Jan,1,Q1,2020,Thu,5,2,2020 Q1,2020 Jan,202001,2019-2020
03-Jan-20,Jan,1,Q1,2020,Fri,6,3,2020 Q1,2020 Jan,202001,2019-2020
04-Jan-20,Jan,1,Q1,2020,Sat,7,4,2020 Q1,2020 Jan,202001,2019-2020
05-Jan-20,Jan,1,Q1,2020,Sun,1,5,2020 Q1,2020 Jan,202001,2019-2020
06-Jan-20,Jan,1,Q1,2020,Mon,2,6,2020 Q1,2020 Jan,202001,2019-2020
07-Jan-20,Jan,1,Q1,2020,Tue,3,7,2020 Q1,2020 Jan,202001,2019-2020
08-Jan-20,Jan,1,Q1,2020,Wed,4,8,2020 Q1,2020 Jan,202001,2019-2020
09-Jan-20,Jan,1,Q1,2020,Thu,5,9,2020 Q1,2020 Jan,202001,2019-2020
10-Jan-20,Jan,1,Q1,2020,Fri,6,10,2020 Q1,2020 Jan,202001,2019-2020
11-Jan-20,Jan,1,Q1,2020,Sat,7,11,2020 Q1,2020 Jan,202001,2019-2020
12-Jan-20,Jan,1,Q1,2020,Sun,1,12,2020 Q1,2020 Jan,202001,2019-2020
13-Jan-20,Jan,1,Q1,2020,Mon,2,13,2020 Q1,2020 Jan,202001,2019-2020
14-Jan-20,Jan,1,Q1,2020,Tue,3,14,2020 Q1,2020 Jan,202001,2019-2020
15-Jan-20,Jan,1,Q1,2020,Wed,4,15,2020 Q1,2020 Jan,202001,2019-2020
16-Jan-20,Jan,1,Q1,2020,Thu,5,16,2020 Q1,2020 Jan,202001,2019-2020
17-Jan-20,Jan,1,Q1,2020,Fri,6,17,2020 Q1,2020 Jan,202001,2019-2020
18-Jan-20,Jan,1,Q1,2020,Sat,7,18,2020 Q1,2020 Jan,202001,2019-2020
19-Jan-20,Jan,1,Q1,2020,Sun,1,19,2020 Q1,2020 Jan,202001,2019-2020
20-Jan-20,Jan,1,Q1,2020,Mon,2,20,2020 Q1,2020 Jan,202001,2019-2020
21-Jan-20,Jan,1,Q1,2020,Tue,3,21,2020 Q1,2020 Jan,202001,2019-2020
22-Jan-20,Jan,1,Q1,2020,Wed,4,22,2020 Q1,2020 Jan,202001,2019-2020
23-Jan-20,Jan,1,Q1,2020,Thu,5,23,2020 Q1,2020 Jan,202001,2019-2020
24-Jan-20,Jan,1,Q1,2020,Fri,6,24,2020 Q1,2020 Jan,202001,2019-2020
25-Jan-20,Jan,1,Q1,2020,Sat,7,25,2020 Q1,2020 Jan,202001,2019-2020
26-Jan-20,Jan,1,Q1,2020,Sun,1,26,2020 Q1,2020 Jan,202001,2019-2020
27-Jan-20,Jan,1,Q1,2020,Mon,2,27,2020 Q1,2020 Jan,202001,2019-2020
28-Jan-20,Jan,1,Q1,2020,Tue,3,28,2020 Q1,2020 Jan,202001,2019-2020
29-Jan-20,Jan,1,Q1,2020,Wed,4,29,2020 Q1,2020 Jan,202001,2019-2020
30-Jan-20,Jan,1,Q1,2020,Thu,5,30,2020 Q1,2020 Jan,202001,2019-2020
31-Jan-20,Jan,1,Q1,2020,Fri,6,31,2020 Q1,2020 Jan,202001,2019-2020
01-Feb-20,Feb,2,Q1,2020,Sat,7,1,2020 Q1,2020 Feb,202002,2019-2020
02-Feb-20,Feb,2,Q1,2020,Sun,1,2,2020 Q1,2020 Feb,202002,2019-2020
03-Feb-20,Feb,2,Q1,2020,Mon,2,3,2020 Q1,2020 Feb,202002,2019-2020
04-Feb-20,Feb,2,Q1,2020,Tue,3,4,2020 Q1,2020 Feb,202002,2019-2020
05-Feb-20,Feb,2,Q1,2020,Wed,4,5,2020 Q1,2020 Feb,202002,2019-2020
06-Feb-20,Feb,2,Q1,2020,Thu,5,6,2020 Q1,2020 Feb,202002,2019-2020
07-Feb-20,Feb,2,Q1,2020,Fri,6,7,2020 Q1,2020 Feb,202002,2019-2020
08-Feb-20,Feb,2,Q1,2020,Sat,7,8,2020 Q1,2020 Feb,202002,2019-2020
