areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate
E92000001,England,nation,2022-02-13,15616753,32316
E92000001,England,nation,2022-02-12,15584863,37791
E92000001,England,nation,2022-02-11,15547597,46736
E92000001,England,nation,2022-02-10,15501331,53993
E92000001,England,nation,2022-02-09,15447906,59193
E92000001,England,nation,2022-02-08,15389601,58453
E92000001,England,nation,2022-02-07,15331148,48601
E92000001,England,nation,2022-02-06,15282993,49533
E92000001,England,nation,2022-02-05,15234229,57377
E92000001,England,nation,2022-02-04,15177316,73185
E92000001,England,nation,2022-02-03,15106124,77189
E92000001,England,nation,2022-02-02,15028951,81446
E92000001,England,nation,2022-02-01,14948735,103353
E92000001,England,nation,2022-01-31,14845382,81720
E92000001,England,nation,2022-01-30,14023177,59559
E92000001,England,nation,2022-01-29,13963618,69137
E92000001,England,nation,2022-01-28,13895065,78711
E92000001,England,nation,2022-01-27,13817017,85288
E92000001,England,nation,2022-01-26,13732435,90587
E92000001,England,nation,2022-01-25,13642522,84302
E92000001,England,nation,2022-01-24,13558510,77232
E92000001,England,nation,2022-01-23,13482354,68913
E92000001,England,nation,2022-01-22,13413441,73331
E92000001,England,nation,2022-01-21,13341488,85902
E92000001,England,nation,2022-01-20,13255586,95974
E92000001,England,nation,2022-01-19,13160429,96545
E92000001,England,nation,2022-01-18,13064494,84987
E92000001,England,nation,2022-01-17,12979908,74249
E92000001,England,nation,2022-01-16,12906041,66273
E92000001,England,nation,2022-01-15,12840532,74576
E92000001,England,nation,2022-01-14,12766944,87857
E92000001,England,nation,2022-01-13,12680151,97770
E92000001,England,nation,2022-01-12,12585787,116173
E92000001,England,nation,2022-01-11,12469614,104833
E92000001,England,nation,2022-01-10,12370121,115998
E92000001,England,nation,2022-01-09,12254123,121228
E92000001,England,nation,2022-01-08,12132895,130330
E92000001,England,nation,2022-01-07,12008346,149405
E92000001,England,nation,2022-01-06,11858941,152306
E92000001,England,nation,2022-01-05,11706635,150232
E92000001,England,nation,2022-01-04,11557285,148725
E92000001,England,nation,2022-01-03,11408560,137541
E92000001,England,nation,2022-01-02,11272332,123547
E92000001,England,nation,2022-01-01,11151423,162572
E92000001,England,nation,2021-12-31,10988851,160276
E92000001,England,nation,2021-12-30,10828575,146604
E92000001,England,nation,2021-12-29,10683026,138287
E92000001,England,nation,2021-12-28,10545584,117093
E92000001,England,nation,2021-12-27,10429274,98515
E92000001,England,nation,2021-12-26,10332128,103558
E92000001,England,nation,2021-12-25,10229538,113628
E92000001,England,nation,2021-12-24,10115910,105069
E92000001,England,nation,2021-12-23,10011650,107055
E92000001,England,nation,2021-12-22,9905451,95795
E92000001,England,nation,2021-12-21,9810446,80916
E92000001,England,nation,2021-12-20,9731126,76065
