areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
nation,England,E92000001,2021-04-16,7,111948
nation,England,E92000001,2021-04-15,15,111941
nation,England,E92000001,2021-04-14,7,111926
nation,England,E92000001,2021-04-13,15,111919
nation,England,E92000001,2021-04-12,21,111904
nation,England,E92000001,2021-04-11,17,111883
nation,England,E92000001,2021-04-10,18,111866
nation,England,E92000001,2021-04-09,16,111848
nation,England,E92000001,2021-04-08,29,111832
nation,England,E92000001,2021-04-07,24,111803
nation,England,E92000001,2021-04-06,21,111779
nation,England,E92000001,2021-04-05,10,111758
nation,England,E92000001,2021-04-04,23,111748
nation,England,E92000001,2021-04-03,27,111725
nation,England,E92000001,2021-04-02,19,111698
nation,England,E92000001,2021-04-01,26,111679
nation,England,E92000001,2021-03-31,35,111653
nation,England,E92000001,2021-03-30,36,111618
nation,England,E92000001,2021-03-29,26,111582
nation,England,E92000001,2021-03-28,25,111556
nation,England,E92000001,2021-03-27,28,111531
nation,England,E92000001,2021-03-26,41,111503
nation,England,E92000001,2021-03-25,37,111462
nation,England,E92000001,2021-03-24,32,111425
nation,England,E92000001,2021-03-23,46,111393
nation,England,E92000001,2021-03-22,55,111347
nation,England,E92000001,2021-03-21,70,111292
nation,England,E92000001,2021-03-20,59,111222
nation,England,E92000001,2021-03-19,53,111163
nation,England,E92000001,2021-03-18,53,111110
nation,England,E92000001,2021-03-17,64,111057
nation,England,E92000001,2021-03-16,65,110993
nation,England,E92000001,2021-03-15,84,110928
nation,England,E92000001,2021-03-14,78,110844
nation,England,E92000001,2021-03-13,97,110766
nation,England,E92000001,2021-03-12,82,110669
nation,England,E92000001,2021-03-11,105,110587
nation,England,E92000001,2021-03-10,96,110482
nation,England,E92000001,2021-03-09,114,110386
nation,England,E92000001,2021-03-08,122,110272
nation,England,E92000001,2021-03-07,112,110150
nation,England,E92000001,2021-03-06,129,110038
nation,England,E92000001,2021-03-05,155,109909
nation,England,E92000001,2021-03-04,129,109754
nation,England,E92000001,2021-03-03,126,109625
nation,England,E92000001,2021-03-02,152,109499
nation,England,E92000001,2021-03-01,193,109347
nation,England,E92000001,2021-02-28,197,109154
nation,England,E92000001,2021-02-27,194,108957
nation,England,E92000001,2021-02-26,192,108763
nation,England,E92000001,2021-02-25,220,108571
nation,England,E92000001,2021-02-24,238,108351
nation,England,E92000001,2021-02-23,252,108113
nation,England,E92000001,2021-02-22,243,107861
nation,England,E92000001,2021-02-21,284,107618
nation,England,E92000001,2021-02-20,297,107334
nation,England,E92000001,2021-02-19,317,107037
nation,England,E92000001,2021-02-18,365,106720
nation,England,E92000001,2021-02-17,383,106355
nation,England,E92000001,2021-02-16,396,105972
nation,England,E92000001,2021-02-15,463,105576
nation,England,E92000001,2021-02-14,430,105113
nation,England,E92000001,2021-02-13,431,104683
nation,England,E92000001,2021-02-12,452,104252
nation,England,E92000001,2021-02-11,509,103800
nation,England,E92000001,2021-02-10,539,103291
nation,England,E92000001,2021-02-09,532,102752
nation,England,E92000001,2021-02-08,619,102220
nation,England,E92000001,2021-02-07,564,101601
nation,England,E92000001,2021-02-06,608,101037
nation,England,E92000001,2021-02-05,674,100429
nation,England,E92000001,2021-02-04,650,99755
nation,England,E92000001,2021-02-03,775,99105
nation,England,E92000001,2021-02-02,758,98330
nation,England,E92000001,2021-02-01,802,97572
nation,England,E92000001,2021-01-31,807,96770
nation,England,E92000001,2021-01-30,829,95963
nation,England,E92000001,2021-01-29,946,95134
nation,England,E92000001,2021-01-28,1016,94188
nation,England,E92000001,2021-01-27,1006,93172
nation,England,E92000001,2021-01-26,959,92166
nation,England,E92000001,2021-01-25,1068,91207
nation,England,E92000001,2021-01-24,1038,90139
nation,England,E92000001,2021-01-23,1055,89101
nation,England,E92000001,2021-01-22,1119,88046
nation,England,E92000001,2021-01-21,1136,86927
nation,England,E92000001,2021-01-20,1172,85791
nation,England,E92000001,2021-01-19,1246,84619
nation,England,E92000001,2021-01-18,1167,83373
nation,England,E92000001,2021-01-17,1167,82206
nation,England,E92000001,2021-01-16,1164,81039
