areaType,areaName,areaCode,date,hospitalCases
nation,England,E92000001,2021-03-30,3283
nation,England,E92000001,2021-03-29,3466
nation,England,E92000001,2021-03-28,3438
nation,England,E92000001,2021-03-27,3676
nation,England,E92000001,2021-03-26,3712
nation,England,E92000001,2021-03-25,3763
nation,England,E92000001,2021-03-24,4005
nation,England,E92000001,2021-03-23,4245
nation,England,E92000001,2021-03-22,4501
nation,England,E92000001,2021-03-21,4492
nation,England,E92000001,2021-03-20,4589
nation,England,E92000001,2021-03-19,4841
nation,England,E92000001,2021-03-18,5083
nation,England,E92000001,2021-03-17,5397
nation,England,E92000001,2021-03-16,5664
nation,England,E92000001,2021-03-15,5976
nation,England,E92000001,2021-03-14,6039
nation,England,E92000001,2021-03-13,6072
nation,England,E92000001,2021-03-12,6391
nation,England,E92000001,2021-03-11,6687
nation,England,E92000001,2021-03-10,6975
nation,England,E92000001,2021-03-09,7451
nation,England,E92000001,2021-03-08,7847
nation,England,E92000001,2021-03-07,7812
nation,England,E92000001,2021-03-06,8021
nation,England,E92000001,2021-03-05,8594
nation,England,E92000001,2021-03-04,9092
nation,England,E92000001,2021-03-03,9594
nation,England,E92000001,2021-03-02,10121
nation,England,E92000001,2021-03-01,10765
nation,England,E92000001,2021-02-28,10663
nation,England,E92000001,2021-02-27,11090
nation,England,E92000001,2021-02-26,11781
nation,England,E92000001,2021-02-25,12449
nation,England,E92000001,2021-02-24,13007
nation,England,E92000001,2021-02-23,13511
nation,England,E92000001,2021-02-22,14137
nation,England,E92000001,2021-02-21,14142
nation,England,E92000001,2021-02-20,14316
nation,England,E92000001,2021-02-19,15018
nation,England,E92000001,2021-02-18,15633
nation,England,E92000001,2021-02-17,16458
nation,England,E92000001,2021-02-16,17093
nation,England,E92000001,2021-02-15,17730
nation,England,E92000001,2021-02-14,17787
nation,England,E92000001,2021-02-13,17694
nation,England,E92000001,2021-02-12,19009
nation,England,E92000001,2021-02-11,19983
nation,England,E92000001,2021-02-10,20926
nation,England,E92000001,2021-02-09,22067
nation,England,E92000001,2021-02-08,23020
nation,England,E92000001,2021-02-07,22991
nation,England,E92000001,2021-02-06,23042
nation,England,E92000001,2021-02-05,24402
nation,England,E92000001,2021-02-04,25334
nation,England,E92000001,2021-02-03,26374
nation,England,E92000001,2021-02-02,27397
nation,England,E92000001,2021-02-01,28539
nation,England,E92000001,2021-01-31,28112
nation,England,E92000001,2021-01-30,28571
nation,England,E92000001,2021-01-29,29359
nation,England,E92000001,2021-01-28,30333
nation,England,E92000001,2021-01-27,30846
nation,England,E92000001,2021-01-26,32337
nation,England,E92000001,2021-01-25,32938
nation,England,E92000001,2021-01-24,32907
nation,England,E92000001,2021-01-23,32614
nation,England,E92000001,2021-01-22,33412
nation,England,E92000001,2021-01-21,33235
nation,England,E92000001,2021-01-20,33886
nation,England,E92000001,2021-01-19,34015
nation,England,E92000001,2021-01-18,34336
nation,England,E92000001,2021-01-17,33352
nation,England,E92000001,2021-01-16,32923
nation,England,E92000001,2021-01-15,33362
nation,England,E92000001,2021-01-14,32925
nation,England,E92000001,2021-01-13,32689
nation,England,E92000001,2021-01-12,32202
nation,England,E92000001,2021-01-11,32070
nation,England,E92000001,2021-01-10,30758
nation,England,E92000001,2021-01-09,29462
nation,England,E92000001,2021-01-08,29346
nation,England,E92000001,2021-01-07,28246
nation,England,E92000001,2021-01-06,27727
nation,England,E92000001,2021-01-05,26467
nation,England,E92000001,2021-01-04,26626
nation,England,E92000001,2021-01-03,24957
nation,England,E92000001,2021-01-02,23557
nation,England,E92000001,2021-01-01,22534
nation,England,E92000001,2020-12-31,22728
nation,England,E92000001,2020-12-30,22713
nation,England,E92000001,2020-12-29,21787
nation,England,E92000001,2020-12-28,20426
nation,England,E92000001,2020-12-27,19277
nation,England,E92000001,2020-12-26,18350
nation,England,E92000001,2020-12-25,17701
nation,England,E92000001,2020-12-24,18227
nation,England,E92000001,2020-12-23,17834
nation,England,E92000001,2020-12-22,18063
nation,England,E92000001,2020-12-21,17709
nation,England,E92000001,2020-12-20,16633
nation,England,E92000001,2020-12-19,16183
nation,England,E92000001,2020-12-18,15866
nation,England,E92000001,2020-12-17,15741
nation,England,E92000001,2020-12-16,15465
nation,England,E92000001,2020-12-15,15031
nation,England,E92000001,2020-12-14,15053
nation,England,E92000001,2020-12-13,14460
nation,England,E92000001,2020-12-12,13927
nation,England,E92000001,2020-12-11,13901
nation,England,E92000001,2020-12-10,13796
nation,England,E92000001,2020-12-09,13467
nation,England,E92000001,2020-12-08,13629
nation,England,E92000001,2020-12-07,13616
nation,England,E92000001,2020-12-06,13189
nation,England,E92000001,2020-12-05,12968
nation,England,E92000001,2020-12-04,12987
nation,England,E92000001,2020-12-03,12896
nation,England,E92000001,2020-12-02,13212
nation,England,E92000001,2020-12-01,13507
nation,England,E92000001,2020-11-30,13756
nation,England,E92000001,2020-11-29,13521
nation,England,E92000001,2020-11-28,13208
nation,England,E92000001,2020-11-27,13754
nation,England,E92000001,2020-11-26,13908
nation,England,E92000001,2020-11-25,14240
nation,England,E92000001,2020-11-24,14506
nation,England,E92000001,2020-11-23,14712
nation,England,E92000001,2020-11-22,14354
nation,England,E92000001,2020-11-21,14118
nation,England,E92000001,2020-11-20,14236
nation,England,E92000001,2020-11-19,14479
nation,England,E92000001,2020-11-18,14490
nation,England,E92000001,2020-11-17,14411
nation,England,E92000001,2020-11-16,14313
nation,England,E92000001,2020-11-15,13886
nation,England,E92000001,2020-11-14,13399
nation,England,E92000001,2020-11-13,13328
nation,England,E92000001,2020-11-12,12967
nation,England,E92000001,2020-11-11,12730
nation,England,E92000001,2020-11-10,12033
nation,England,E92000001,2020-11-09,12259
nation,England,E92000001,2020-11-08,11680
nation,England,E92000001,2020-11-07,11514
nation,England,E92000001,2020-11-06,11181
nation,England,E92000001,2020-11-05,10994
nation,England,E92000001,2020-11-04,11037
nation,England,E92000001,2020-11-03,10971
nation,England,E92000001,2020-11-02,10397
nation,England,E92000001,2020-11-01,9623
nation,England,E92000001,2020-10-31,9782
nation,England,E92000001,2020-10-30,9295
nation,England,E92000001,2020-10-29,9127
nation,England,E92000001,2020-10-28,9070
nation,England,E92000001,2020-10-27,8595
nation,England,E92000001,2020-10-26,7856
nation,England,E92000001,2020-10-25,7612
nation,England,E92000001,2020-10-24,7176
nation,England,E92000001,2020-10-23,6842
nation,England,E92000001,2020-10-22,6345
nation,England,E92000001,2020-10-21,6271
nation,England,E92000001,2020-10-20,6072
nation,England,E92000001,2020-10-19,5644
nation,England,E92000001,2020-10-18,5202
nation,England,E92000001,2020-10-17,5029
nation,England,E92000001,2020-10-16,4854
nation,England,E92000001,2020-10-15,4569
nation,England,E92000001,2020-10-14,4313
nation,England,E92000001,2020-10-13,4105
nation,England,E92000001,2020-10-12,3827
nation,England,E92000001,2020-10-11,3604
nation,England,E92000001,2020-10-10,3369
nation,England,E92000001,2020-10-09,3238
nation,England,E92000001,2020-10-08,3179
nation,England,E92000001,2020-10-07,3066
nation,England,E92000001,2020-10-06,2903
nation,England,E92000001,2020-10-05,2705
nation,England,E92000001,2020-10-04,2435
nation,England,E92000001,2020-10-03,2290
nation,England,E92000001,2020-10-02,2180
nation,England,E92000001,2020-10-01,2069
nation,England,E92000001,2020-09-30,2036
nation,England,E92000001,2020-09-29,1954
nation,England,E92000001,2020-09-28,1955
nation,England,E92000001,2020-09-27,1793
nation,England,E92000001,2020-09-26,1689
nation,England,E92000001,2020-09-25,1686
nation,England,E92000001,2020-09-24,1546
nation,England,E92000001,2020-09-23,1439
nation,England,E92000001,2020-09-22,1378
nation,England,E92000001,2020-09-21,1299
nation,England,E92000001,2020-09-20,1174
nation,England,E92000001,2020-09-19,1081
nation,England,E92000001,2020-09-18,1020
nation,England,E92000001,2020-09-17,984
nation,England,E92000001,2020-09-16,929
nation,England,E92000001,2020-09-15,891
nation,England,E92000001,2020-09-14,812
nation,England,E92000001,2020-09-13,691
nation,England,E92000001,2020-09-12,663
nation,England,E92000001,2020-09-11,622
nation,England,E92000001,2020-09-10,572
nation,England,E92000001,2020-09-09,557
nation,England,E92000001,2020-09-08,535
nation,England,E92000001,2020-09-07,555
nation,England,E92000001,2020-09-06,483
nation,England,E92000001,2020-09-05,471
nation,England,E92000001,2020-09-04,474
nation,England,E92000001,2020-09-03,468
nation,England,E92000001,2020-09-02,451
nation,England,E92000001,2020-09-01,496
nation,England,E92000001,2020-08-31,495
nation,England,E92000001,2020-08-30,479
nation,England,E92000001,2020-08-29,478
nation,England,E92000001,2020-08-28,469
nation,England,E92000001,2020-08-27,492
nation,England,E92000001,2020-08-26,485
nation,England,E92000001,2020-08-25,500
nation,England,E92000001,2020-08-24,522
