areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate
nation,England,E92000001,2021-06-28,106496,37382390
nation,England,E92000001,2021-06-27,118366,37275894
nation,England,E92000001,2021-06-26,212685,37157528
nation,England,E92000001,2021-06-25,177515,36944843
nation,England,E92000001,2021-06-24,202390,36767328
nation,England,E92000001,2021-06-23,187513,36564938
nation,England,E92000001,2021-06-22,275647,36377425
nation,England,E92000001,2021-06-21,,36101778
nation,England,E92000001,2021-06-20,142223,36101778
nation,England,E92000001,2021-06-19,255393,35959555
nation,England,E92000001,2021-06-18,196246,35704162
nation,England,E92000001,2021-06-17,217157,35507916
nation,England,E92000001,2021-06-16,170367,35290759
nation,England,E92000001,2021-06-15,154647,35120392
nation,England,E92000001,2021-06-14,114606,34965745
nation,England,E92000001,2021-06-13,123866,34851139
nation,England,E92000001,2021-06-12,228144,34727273
nation,England,E92000001,2021-06-11,177139,34499129
nation,England,E92000001,2021-06-10,173443,34321990
nation,England,E92000001,2021-06-09,149733,34148547
nation,England,E92000001,2021-06-08,109068,33998814
nation,England,E92000001,2021-06-07,89639,33889746
nation,England,E92000001,2021-06-06,99621,33800107
nation,England,E92000001,2021-06-05,175001,33700486
nation,England,E92000001,2021-06-04,150337,33525485
nation,England,E92000001,2021-06-03,157335,33375148
nation,England,E92000001,2021-06-02,132668,33217813
nation,England,E92000001,2021-06-01,75701,33085145
nation,England,E92000001,2021-05-31,70948,33009444
nation,England,E92000001,2021-05-30,99213,32938496
nation,England,E92000001,2021-05-29,155467,32839283
nation,England,E92000001,2021-05-28,174622,32683816
nation,England,E92000001,2021-05-27,223510,32509194
nation,England,E92000001,2021-05-26,206311,32285684
nation,England,E92000001,2021-05-25,157084,32079373
nation,England,E92000001,2021-05-24,95484,31922289
nation,England,E92000001,2021-05-23,101708,31826805
nation,England,E92000001,2021-05-22,178251,31725097
nation,England,E92000001,2021-05-21,192008,31546846
nation,England,E92000001,2021-05-20,234818,31354838
nation,England,E92000001,2021-05-19,235979,31120020
nation,England,E92000001,2021-05-18,154621,30884041
nation,England,E92000001,2021-05-17,85946,30729420
nation,England,E92000001,2021-05-16,105520,30643474
nation,England,E92000001,2021-05-15,205962,30537954
nation,England,E92000001,2021-05-14,185059,30331992
nation,England,E92000001,2021-05-13,173820,30146933
nation,England,E92000001,2021-05-12,146934,29973113
nation,England,E92000001,2021-05-11,98515,29826179
nation,England,E92000001,2021-05-10,76110,29727664
