areaType,areaName,areaCode,date,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
nation,England,E92000001,2021-06-19,195646,26456342
nation,England,E92000001,2021-06-18,162030,26260696
nation,England,E92000001,2021-06-17,176158,26098666
nation,England,E92000001,2021-06-16,180627,25922508
nation,England,E92000001,2021-06-15,175703,25741881
nation,England,E92000001,2021-06-14,174262,25566178
nation,England,E92000001,2021-06-13,153449,25391916
nation,England,E92000001,2021-06-12,276813,25238467
nation,England,E92000001,2021-06-11,251641,24961654
nation,England,E92000001,2021-06-10,248650,24710013
nation,England,E92000001,2021-06-09,253913,24461363
nation,England,E92000001,2021-06-08,252697,24207450
nation,England,E92000001,2021-06-07,244107,23954753
nation,England,E92000001,2021-06-06,217491,23710646
nation,England,E92000001,2021-06-05,415644,23493155
nation,England,E92000001,2021-06-04,321602,23077511
nation,England,E92000001,2021-06-03,313526,22755909
nation,England,E92000001,2021-06-02,288963,22442383
nation,England,E92000001,2021-06-01,279285,22153420
nation,England,E92000001,2021-05-31,154674,21874135
nation,England,E92000001,2021-05-30,179424,21719461
nation,England,E92000001,2021-05-29,381816,21540037
nation,England,E92000001,2021-05-28,380855,21158221
nation,England,E92000001,2021-05-27,374042,20777366
nation,England,E92000001,2021-05-26,368554,20403324
nation,England,E92000001,2021-05-25,327467,20034770
nation,England,E92000001,2021-05-24,279672,19707303
nation,England,E92000001,2021-05-23,220062,19427631
nation,England,E92000001,2021-05-22,508013,19207569
nation,England,E92000001,2021-05-21,371460,18699556
nation,England,E92000001,2021-05-20,367142,18328096
nation,England,E92000001,2021-05-19,309020,17960954
nation,England,E92000001,2021-05-18,269283,17651934
nation,England,E92000001,2021-05-17,210442,17382651
nation,England,E92000001,2021-05-16,157687,17172209
nation,England,E92000001,2021-05-15,353764,17014522
nation,England,E92000001,2021-05-14,346425,16660758
nation,England,E92000001,2021-05-13,378650,16314333
nation,England,E92000001,2021-05-12,402524,15935683
nation,England,E92000001,2021-05-11,308915,15533159
nation,England,E92000001,2021-05-10,192723,15224244
nation,England,E92000001,2021-05-09,160313,15031521
nation,England,E92000001,2021-05-08,404510,14871208
nation,England,E92000001,2021-05-07,414731,14466698
nation,England,E92000001,2021-05-06,419232,14051967
nation,England,E92000001,2021-05-05,348553,13632735
nation,England,E92000001,2021-05-04,211639,13284182
nation,England,E92000001,2021-05-03,99785,13072543
nation,England,E92000001,2021-05-02,137400,12972758
nation,England,E92000001,2021-05-01,329170,12835358
nation,England,E92000001,2021-04-30,361758,12506188
nation,England,E92000001,2021-04-29,395043,12144430
nation,England,E92000001,2021-04-28,394152,11749387
nation,England,E92000001,2021-04-27,313616,11355235
nation,England,E92000001,2021-04-26,249768,11041619
nation,England,E92000001,2021-04-25,227159,10791851
nation,England,E92000001,2021-04-24,478008,10564692
