areaType,areaName,areaCode,date,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage
nation,England,E92000001,2021-05-07,66.5,32.7
nation,England,E92000001,2021-05-06,66.3,31.7
nation,England,E92000001,2021-05-05,66.0,30.8
nation,England,E92000001,2021-05-04,65.8,30.0
nation,England,E92000001,2021-05-03,65.6,29.5
nation,England,E92000001,2021-05-02,65.4,29.3
nation,England,E92000001,2021-05-01,65.3,29.0
nation,England,E92000001,2021-04-30,65.0,28.3
nation,England,E92000001,2021-04-29,64.7,27.4
nation,England,E92000001,2021-04-28,64.5,26.5
nation,England,E92000001,2021-04-27,64.3,25.7
nation,England,E92000001,2021-04-26,64.1,24.9
nation,England,E92000001,2021-04-25,63.9,24.4
nation,England,E92000001,2021-04-24,63.8,23.9
nation,England,E92000001,2021-04-23,63.5,22.8
nation,England,E92000001,2021-04-22,63.2,21.9
nation,England,E92000001,2021-04-21,63.0,21.1
nation,England,E92000001,2021-04-20,62.8,20.3
nation,England,E92000001,2021-04-19,62.6,19.7
nation,England,E92000001,2021-04-18,62.4,19.2
nation,England,E92000001,2021-04-17,62.3,18.8
nation,England,E92000001,2021-04-16,62.0,17.8
nation,England,E92000001,2021-04-15,61.8,16.8
nation,England,E92000001,2021-04-14,61.6,15.9
nation,England,E92000001,2021-04-13,61.4,15.3
nation,England,E92000001,2021-04-12,61.3,14.7
nation,England,E92000001,2021-04-11,61.2,14.3
nation,England,E92000001,2021-04-10,61.2,14.0
nation,England,E92000001,2021-04-09,61.0,13.0
nation,England,E92000001,2021-04-08,60.9,12.1
nation,England,E92000001,2021-04-07,60.7,11.1
nation,England,E92000001,2021-04-06,60.6,10.3
nation,England,E92000001,2021-04-05,60.5,9.9
nation,England,E92000001,2021-04-04,60.4,9.8
nation,England,E92000001,2021-04-03,60.4,9.7
nation,England,E92000001,2021-04-02,60.2,9.4
nation,England,E92000001,2021-04-01,60.0,8.9
nation,England,E92000001,2021-03-31,59.8,8.0
nation,England,E92000001,2021-03-30,59.3,7.2
nation,England,E92000001,2021-03-29,58.9,6.7
nation,England,E92000001,2021-03-28,58.5,6.3
nation,England,E92000001,2021-03-27,58.0,6.1
nation,England,E92000001,2021-03-26,57.1,5.6
nation,England,E92000001,2021-03-25,56.3,5.0
nation,England,E92000001,2021-03-24,55.8,4.6
nation,England,E92000001,2021-03-23,55.1,4.1
nation,England,E92000001,2021-03-22,54.5,3.8
nation,England,E92000001,2021-03-21,53.9,3.7
nation,England,E92000001,2021-03-20,53.2,3.6
nation,England,E92000001,2021-03-19,51.7,3.4
nation,England,E92000001,2021-03-18,50.5,3.2
nation,England,E92000001,2021-03-17,49.4,3.0
nation,England,E92000001,2021-03-16,48.6,2.8
