areaType,areaName,areaCode,date,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage
nation,England,E92000001,2021-06-19,81.2,59.8
nation,England,E92000001,2021-06-18,80.7,59.3
nation,England,E92000001,2021-06-17,80.2,59.0
nation,England,E92000001,2021-06-16,79.7,58.6
nation,England,E92000001,2021-06-15,79.3,58.2
nation,England,E92000001,2021-06-14,79.0,57.8
nation,England,E92000001,2021-06-13,78.7,57.4
nation,England,E92000001,2021-06-12,78.5,57.0
nation,England,E92000001,2021-06-11,77.9,56.4
nation,England,E92000001,2021-06-10,77.5,55.8
nation,England,E92000001,2021-06-09,77.1,55.3
nation,England,E92000001,2021-06-08,76.8,54.7
nation,England,E92000001,2021-06-07,76.6,54.1
nation,England,E92000001,2021-06-06,76.4,53.6
nation,England,E92000001,2021-06-05,76.1,53.1
nation,England,E92000001,2021-06-04,75.7,52.1
nation,England,E92000001,2021-06-03,75.4,51.4
nation,England,E92000001,2021-06-02,75.0,50.7
nation,England,E92000001,2021-06-01,74.7,50.0
nation,England,E92000001,2021-05-31,74.6,49.4
nation,England,E92000001,2021-05-30,74.4,49.1
nation,England,E92000001,2021-05-29,74.2,48.7
nation,England,E92000001,2021-05-28,73.8,47.8
nation,England,E92000001,2021-05-27,73.4,46.9
nation,England,E92000001,2021-05-26,72.9,46.1
nation,England,E92000001,2021-05-25,72.5,45.3
nation,England,E92000001,2021-05-24,72.1,44.5
nation,England,E92000001,2021-05-23,71.9,43.9
nation,England,E92000001,2021-05-22,71.7,43.4
nation,England,E92000001,2021-05-21,71.3,42.2
nation,England,E92000001,2021-05-20,70.8,41.4
nation,England,E92000001,2021-05-19,70.3,40.6
nation,England,E92000001,2021-05-18,69.8,39.9
nation,England,E92000001,2021-05-17,69.4,39.3
nation,England,E92000001,2021-05-16,69.2,38.8
nation,England,E92000001,2021-05-15,69.0,38.4
nation,England,E92000001,2021-05-14,68.5,37.6
nation,England,E92000001,2021-05-13,68.1,36.9
nation,England,E92000001,2021-05-12,67.7,36.0
nation,England,E92000001,2021-05-11,67.4,35.1
nation,England,E92000001,2021-05-10,67.2,34.4
nation,England,E92000001,2021-05-09,67.0,34.0
nation,England,E92000001,2021-05-08,66.8,33.6
nation,England,E92000001,2021-05-07,66.5,32.7
nation,England,E92000001,2021-05-06,66.3,31.7
nation,England,E92000001,2021-05-05,66.0,30.8
nation,England,E92000001,2021-05-04,65.8,30.0
nation,England,E92000001,2021-05-03,65.6,29.5
