areaType,areaName,areaCode,date,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage
overview,United Kingdom,K02000001,2021-05-07,66.799999999999997158,32.700000000000002842
overview,United Kingdom,K02000001,2021-05-06,66.599999999999994316,31.800000000000000711
overview,United Kingdom,K02000001,2021-05-05,66.299999999999997158,30.899999999999998579
overview,United Kingdom,K02000001,2021-05-04,66.099999999999994316,30.199999999999999289
overview,United Kingdom,K02000001,2021-05-03,65.799999999999997158,29.699999999999999289
overview,United Kingdom,K02000001,2021-05-02,65.700000000000002842,29.399999999999998579
overview,United Kingdom,K02000001,2021-05-01,65.5,29.100000000000001421
overview,United Kingdom,K02000001,2021-04-30,65.200000000000002842,28.399999999999998579
overview,United Kingdom,K02000001,2021-04-29,65,27.600000000000001421
overview,United Kingdom,K02000001,2021-04-28,64.700000000000002842,26.699999999999999289
overview,United Kingdom,K02000001,2021-04-27,64.5,25.800000000000000711
overview,United Kingdom,K02000001,2021-04-26,64.299999999999997158,25.100000000000001421
overview,United Kingdom,K02000001,2021-04-25,64.099999999999994316,24.5
overview,United Kingdom,K02000001,2021-04-24,63.899999999999998579,24
overview,United Kingdom,K02000001,2021-04-23,63.600000000000001421,23
overview,United Kingdom,K02000001,2021-04-22,63.399999999999998579,22.100000000000001421
overview,United Kingdom,K02000001,2021-04-21,63.100000000000001421,21.199999999999999289
overview,United Kingdom,K02000001,2021-04-20,62.899999999999998579,20.5
overview,United Kingdom,K02000001,2021-04-19,62.700000000000002842,19.800000000000000711
overview,United Kingdom,K02000001,2021-04-18,62.5,19.300000000000000711
overview,United Kingdom,K02000001,2021-04-17,62.399999999999998579,18.899999999999998579
overview,United Kingdom,K02000001,2021-04-16,62.100000000000001421,17.899999999999998579
overview,United Kingdom,K02000001,2021-04-15,61.799999999999997158,17
overview,United Kingdom,K02000001,2021-04-14,61.600000000000001421,16.199999999999999289
overview,United Kingdom,K02000001,2021-04-13,61.399999999999998579,15.5
overview,United Kingdom,K02000001,2021-04-12,61.200000000000002842,14.900000000000000355
overview,United Kingdom,K02000001,2021-04-11,61.100000000000001421,14.5
overview,United Kingdom,K02000001,2021-04-10,61,14.199999999999999289
overview,United Kingdom,K02000001,2021-04-09,60.799999999999997158,13.300000000000000711
overview,United Kingdom,K02000001,2021-04-08,60.600000000000001421,12.400000000000000355
overview,United Kingdom,K02000001,2021-04-07,60.399999999999998579,11.599999999999999645
overview,United Kingdom,K02000001,2021-04-06,60.200000000000002842,10.800000000000000711
overview,United Kingdom,K02000001,2021-04-05,60,10.400000000000000355
overview,United Kingdom,K02000001,2021-04-04,60,10.300000000000000711
overview,United Kingdom,K02000001,2021-04-03,59.899999999999998579,10.199999999999999289
overview,United Kingdom,K02000001,2021-04-02,59.700000000000002842,9.9000000000000003553
overview,United Kingdom,K02000001,2021-04-01,59.5,9.4000000000000003553
overview,United Kingdom,K02000001,2021-03-31,59.100000000000001421,8.5999999999999996447
overview,United Kingdom,K02000001,2021-03-30,58.700000000000002842,7.7999999999999998224
overview,United Kingdom,K02000001,2021-03-29,58.200000000000002842,7.2999999999999998224
overview,United Kingdom,K02000001,2021-03-28,57.799999999999997158,7
overview,United Kingdom,K02000001,2021-03-27,57.200000000000002842,6.7000000000000001776
overview,United Kingdom,K02000001,2021-03-26,56.399999999999998579,6.2999999999999998224
overview,United Kingdom,K02000001,2021-03-25,55.700000000000002842,5.7000000000000001776
overview,United Kingdom,K02000001,2021-03-24,55,5.2999999999999998224
overview,United Kingdom,K02000001,2021-03-23,54.399999999999998579,4.7999999999999998224
overview,United Kingdom,K02000001,2021-03-22,53.799999999999997158,4.5
overview,United Kingdom,K02000001,2021-03-21,53.200000000000002842,4.2999999999999998224
overview,United Kingdom,K02000001,2021-03-20,52.5,4.2000000000000001776
