areaType,areaName,areaCode,date,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
nation,England,E92000001,2021-04-16,446025,7863747
nation,England,E92000001,2021-04-15,363002,7417722
nation,England,E92000001,2021-04-14,292383,7054720
nation,England,E92000001,2021-04-13,257732,6762337
nation,England,E92000001,2021-04-12,166273,6504605
nation,England,E92000001,2021-04-11,160454,6338332
nation,England,E92000001,2021-04-10,437442,6177878
nation,England,E92000001,2021-04-09,404206,5740436
nation,England,E92000001,2021-04-08,403212,5336230
nation,England,E92000001,2021-04-07,372241,4933018
nation,England,E92000001,2021-04-06,162466,4560777
nation,England,E92000001,2021-04-05,54060,4398311
nation,England,E92000001,2021-04-04,39491,4344251
nation,England,E92000001,2021-04-03,157903,4304760
nation,England,E92000001,2021-04-02,215754,4146857
nation,England,E92000001,2021-04-01,411998,3931103
nation,England,E92000001,2021-03-31,341748,3519105
nation,England,E92000001,2021-03-30,233828,3177357
nation,England,E92000001,2021-03-29,137405,2943529
nation,England,E92000001,2021-03-28,127078,2806124
nation,England,E92000001,2021-03-27,201335,2679046
nation,England,E92000001,2021-03-26,250962,2477711
nation,England,E92000001,2021-03-25,198206,2226749
nation,England,E92000001,2021-03-24,208013,2028543
nation,England,E92000001,2021-03-23,134547,1820530
nation,England,E92000001,2021-03-22,64436,1685983
nation,England,E92000001,2021-03-21,30418,1621547
nation,England,E92000001,2021-03-20,70449,1591129
nation,England,E92000001,2021-03-19,100730,1520680
nation,England,E92000001,2021-03-18,104609,1419950
nation,England,E92000001,2021-03-17,90906,1315341
nation,England,E92000001,2021-03-16,62909,1224435
nation,England,E92000001,2021-03-15,32082,1161526
nation,England,E92000001,2021-03-14,14378,1129444
nation,England,E92000001,2021-03-13,38640,1115066
nation,England,E92000001,2021-03-12,67514,1076426
nation,England,E92000001,2021-03-11,69680,1008912
nation,England,E92000001,2021-03-10,70960,939232
nation,England,E92000001,2021-03-09,47151,868272
nation,England,E92000001,2021-03-08,23800,821121
nation,England,E92000001,2021-03-07,9133,797321
nation,England,E92000001,2021-03-06,21688,788188
nation,England,E92000001,2021-03-05,37235,766500
nation,England,E92000001,2021-03-04,45045,729265
nation,England,E92000001,2021-03-03,44001,684220
nation,England,E92000001,2021-03-02,27652,640219
nation,England,E92000001,2021-03-01,12632,612567
nation,England,E92000001,2021-02-28,9388,599935
nation,England,E92000001,2021-02-27,15584,590547
nation,England,E92000001,2021-02-26,16226,574963
nation,England,E92000001,2021-02-25,16168,558737
nation,England,E92000001,2021-02-24,14209,542569
nation,England,E92000001,2021-02-23,9581,528360
nation,England,E92000001,2021-02-22,5344,518779
nation,England,E92000001,2021-02-21,2346,513435
nation,England,E92000001,2021-02-20,2432,511089
nation,England,E92000001,2021-02-19,3895,508657
nation,England,E92000001,2021-02-18,4561,504762
nation,England,E92000001,2021-02-17,4497,500201
nation,England,E92000001,2021-02-16,3128,495704
nation,England,E92000001,2021-02-15,1854,492576
nation,England,E92000001,2021-02-14,837,490722
