"Date","Spot exchange rate, Swiss Franc into Sterling                          XUDLSFS"
"02 Nov 22","1.1452"
"01 Nov 22","1.1455"
"31 Oct 22","1.1521"
"28 Oct 22","1.155"
"27 Oct 22","1.1462"
"26 Oct 22","1.1456"
"25 Oct 22","1.1412"
"24 Oct 22","1.132"
"21 Oct 22","1.1253"
"20 Oct 22","1.1328"
"19 Oct 22","1.1304"
"18 Oct 22","1.1261"
"17 Oct 22","1.1394"
"14 Oct 22","1.1288"
"13 Oct 22","1.1283"
"12 Oct 22","1.1058"
"11 Oct 22","1.1053"
"10 Oct 22","1.1047"
"07 Oct 22","1.1035"
"06 Oct 22","1.1078"
"05 Oct 22","1.1082"
"04 Oct 22","1.1192"
"03 Oct 22","1.1177"
"30 Sep 22","1.0994"
"29 Sep 22","1.0824"
"28 Sep 22","1.0535"
"27 Sep 22","1.0663"
"26 Sep 22","1.069"
"23 Sep 22","1.0699"
"22 Sep 22","1.1059"
"21 Sep 22","1.0935"
"20 Sep 22","1.1014"
"16 Sep 22","1.1"
"15 Sep 22","1.1038"
"14 Sep 22","1.1118"
"13 Sep 22","1.1089"
"12 Sep 22","1.114"
"09 Sep 22","1.1137"
"08 Sep 22","1.1184"
"07 Sep 22","1.1259"
"06 Sep 22","1.1345"
"05 Sep 22","1.1294"
"02 Sep 22","1.1344"
"01 Sep 22","1.135"
"31 Aug 22","1.1358"
"30 Aug 22","1.1354"
"26 Aug 22","1.1358"
"25 Aug 22","1.1399"
"24 Aug 22","1.1411"
"23 Aug 22","1.1406"
"22 Aug 22","1.1358"
"19 Aug 22","1.1322"
"18 Aug 22","1.1456"
"17 Aug 22","1.148"
"16 Aug 22","1.1498"
"15 Aug 22","1.1404"
"12 Aug 22","1.1443"
"11 Aug 22","1.1484"
"10 Aug 22","1.1526"
"09 Aug 22","1.1514"
"08 Aug 22","1.1554"
"05 Aug 22","1.1615"
"04 Aug 22","1.1593"
"03 Aug 22","1.1676"
"02 Aug 22","1.1655"
"01 Aug 22","1.1664"
"29 Jul 22","1.1583"
"28 Jul 22","1.1586"
"27 Jul 22","1.1603"
"26 Jul 22","1.1603"
"25 Jul 22","1.1622"
"22 Jul 22","1.1568"
"21 Jul 22","1.1583"
"20 Jul 22","1.1642"
"19 Jul 22","1.1648"
"18 Jul 22","1.1712"
"15 Jul 22","1.1605"
"14 Jul 22","1.1614"
"13 Jul 22","1.1688"
"12 Jul 22","1.1665"
"11 Jul 22","1.1643"
"08 Jul 22","1.174"
"07 Jul 22","1.1676"
"06 Jul 22","1.1557"
"05 Jul 22","1.156"
"04 Jul 22","1.1649"
"01 Jul 22","1.1562"
"30 Jun 22","1.1628"
"29 Jun 22","1.155"
"28 Jun 22","1.1684"
"27 Jun 22","1.1765"
"24 Jun 22","1.1735"
"23 Jun 22","1.173"
"22 Jun 22","1.1753"
"21 Jun 22","1.1835"
"20 Jun 22","1.1849"
"17 Jun 22","1.1843"
"16 Jun 22","1.1897"
"15 Jun 22","1.2077"
"14 Jun 22","1.2003"
"13 Jun 22","1.2097"
"10 Jun 22","1.2196"
"09 Jun 22","1.2284"
"08 Jun 22","1.2228"
"07 Jun 22","1.2234"
"06 Jun 22","1.2133"
"01 Jun 22","1.2044"
"31 May 22","1.2079"
"30 May 22","1.211"
"27 May 22","1.207"
"26 May 22","1.2078"
"25 May 22","1.2077"
"24 May 22","1.2019"
"23 May 22","1.2135"
"20 May 22","1.2158"
"19 May 22","1.2141"
"18 May 22","1.2281"
"17 May 22","1.2381"
"16 May 22","1.231"
"13 May 22","1.2244"
"12 May 22","1.2206"
"11 May 22","1.2226"
"10 May 22","1.2234"
"09 May 22","1.226"
"06 May 22","1.2167"
"05 May 22","1.219"
"04 May 22","1.2283"
"03 May 22","1.2239"
"29 Apr 22","1.2186"
"28 Apr 22","1.2087"
"27 Apr 22","1.2128"
"26 Apr 22","1.2119"
"25 Apr 22","1.2188"
"22 Apr 22","1.2304"
"21 Apr 22","1.2407"
"20 Apr 22","1.2346"
"19 Apr 22","1.2333"
"14 Apr 22","1.2299"
"13 Apr 22","1.2184"
"12 Apr 22","1.2128"
"11 Apr 22","1.2141"
"08 Apr 22","1.2154"
"07 Apr 22","1.2194"
"06 Apr 22","1.2209"
"05 Apr 22","1.2176"
"04 Apr 22","1.2143"
"01 Apr 22","1.2143"
"31 Mar 22","1.2117"
"30 Mar 22","1.2149"
"29 Mar 22","1.2239"
"28 Mar 22","1.2233"
"25 Mar 22","1.2275"
"24 Mar 22","1.2273"
"23 Mar 22","1.2314"
"22 Mar 22","1.2365"
"21 Mar 22","1.2282"
"18 Mar 22","1.229"
"17 Mar 22","1.2302"
"16 Mar 22","1.2328"
"15 Mar 22","1.2301"
"14 Mar 22","1.2211"
"11 Mar 22","1.2208"
"10 Mar 22","1.2177"
"09 Mar 22","1.2194"
"08 Mar 22","1.218"
"07 Mar 22","1.2159"
"04 Mar 22","1.2146"
"03 Mar 22","1.2278"
"02 Mar 22","1.2288"
"01 Mar 22","1.2276"
"28 Feb 22","1.2311"
"25 Feb 22","1.245"
"24 Feb 22","1.2325"
"23 Feb 22","1.2437"
"22 Feb 22","1.2521"
"21 Feb 22","1.2457"
"18 Feb 22","1.252"
"17 Feb 22","1.2533"
"16 Feb 22","1.253"
"15 Feb 22","1.2531"
"14 Feb 22","1.2516"
"11 Feb 22","1.2592"
"10 Feb 22","1.2585"
"09 Feb 22","1.2515"
"08 Feb 22","1.2534"
"07 Feb 22","1.249"
"04 Feb 22","1.2518"
"03 Feb 22","1.2508"
"02 Feb 22","1.246"
"01 Feb 22","1.2471"
"31 Jan 22","1.2492"
"28 Jan 22","1.2479"
"27 Jan 22","1.2471"
"26 Jan 22","1.2452"
"25 Jan 22","1.2396"
"24 Jan 22","1.2329"
"21 Jan 22","1.2352"
"20 Jan 22","1.249"
"19 Jan 22","1.2451"
"18 Jan 22","1.2451"
"17 Jan 22","1.2476"
"14 Jan 22","1.2479"
"13 Jan 22","1.2502"
"12 Jan 22","1.2528"
"11 Jan 22","1.2589"
"10 Jan 22","1.2545"
"07 Jan 22","1.2486"
"06 Jan 22","1.2438"
"05 Jan 22","1.2411"
"04 Jan 22","1.239"
"31 Dec 21","1.2305"
"30 Dec 21","1.2337"
"29 Dec 21","1.2319"
"24 Dec 21","1.2306"
"23 Dec 21","1.234"
"22 Dec 21","1.2283"
"21 Dec 21","1.2242"
"20 Dec 21","1.2177"
"17 Dec 21","1.2232"
"16 Dec 21","1.2287"
"15 Dec 21","1.224"
"14 Dec 21","1.2227"
"13 Dec 21","1.2194"
"10 Dec 21","1.2195"
"09 Dec 21","1.2223"
"08 Dec 21","1.2192"
"07 Dec 21","1.226"
"06 Dec 21","1.2254"
"03 Dec 21","1.2164"
"02 Dec 21","1.2234"
"01 Dec 21","1.2246"
"30 Nov 21","1.2239"
"29 Nov 21","1.2297"
"26 Nov 21","1.2304"
"25 Nov 21","1.2464"
"24 Nov 21","1.248"
"23 Nov 21","1.2466"
"22 Nov 21","1.2484"
"19 Nov 21","1.2474"
"18 Nov 21","1.2482"
"17 Nov 21","1.2517"
"16 Nov 21","1.2463"
"15 Nov 21","1.2385"
"12 Nov 21","1.2345"
"11 Nov 21","1.2327"
"10 Nov 21","1.2347"
"09 Nov 21","1.2373"
"08 Nov 21","1.2388"
"05 Nov 21","1.2321"
"04 Nov 21","1.2317"
"03 Nov 21","1.2458"
"02 Nov 21","1.2449"
"01 Nov 21","1.2455"
"29 Oct 21","1.2527"
"28 Oct 21","1.2608"
"27 Oct 21","1.2579"
"26 Oct 21","1.2683"
"25 Oct 21","1.2657"
"22 Oct 21","1.2614"
"21 Oct 21","1.269"
"20 Oct 21","1.2705"
"19 Oct 21","1.271"
"18 Oct 21","1.2676"
"15 Oct 21","1.2709"
"14 Oct 21","1.2638"
"13 Oct 21","1.2627"
"12 Oct 21","1.2638"
"11 Oct 21","1.2626"
"08 Oct 21","1.2639"
"07 Oct 21","1.2629"
"06 Oct 21","1.2589"
"05 Oct 21","1.2646"
"04 Oct 21","1.2568"
"01 Oct 21","1.2591"
"30 Sep 21","1.2582"
"29 Sep 21","1.2528"
"28 Sep 21","1.2572"
"27 Sep 21","1.2692"
"24 Sep 21","1.2647"
"23 Sep 21","1.2677"
"22 Sep 21","1.2588"
"21 Sep 21","1.2592"
"20 Sep 21","1.2684"
"17 Sep 21","1.2806"
"16 Sep 21","1.2754"
"15 Sep 21","1.2712"
"14 Sep 21","1.2734"
"13 Sep 21","1.2754"
"10 Sep 21","1.2708"
"09 Sep 21","1.2716"
"08 Sep 21","1.267"
"07 Sep 21","1.2658"
"06 Sep 21","1.2668"
"03 Sep 21","1.267"
"02 Sep 21","1.2649"
"01 Sep 21","1.2603"
"31 Aug 21","1.2606"
"27 Aug 21","1.2558"
"26 Aug 21","1.2592"
"25 Aug 21","1.2558"
"24 Aug 21","1.2524"
"23 Aug 21","1.2533"
"20 Aug 21","1.2498"
"19 Aug 21","1.2541"
"18 Aug 21","1.2624"
"17 Aug 21","1.2561"
"16 Aug 21","1.2626"
"13 Aug 21","1.2695"
"12 Aug 21","1.2777"
"11 Aug 21","1.2778"
"10 Aug 21","1.2774"
"09 Aug 21","1.2732"
"06 Aug 21","1.2684"
"05 Aug 21","1.2633"
"04 Aug 21","1.2608"
"03 Aug 21","1.2561"
"02 Aug 21","1.2568"
"30 Jul 21","1.2605"
"29 Jul 21","1.2661"
"28 Jul 21","1.2681"
"27 Jul 21","1.269"
"26 Jul 21","1.2666"
"23 Jul 21","1.2661"
"22 Jul 21","1.2634"
"21 Jul 21","1.2565"
"20 Jul 21","1.2552"
"19 Jul 21","1.255"
"16 Jul 21","1.2677"
"15 Jul 21","1.2737"
"14 Jul 21","1.2705"
"13 Jul 21","1.2682"
"12 Jul 21","1.2712"
"09 Jul 21","1.2665"
"08 Jul 21","1.2575"
"07 Jul 21","1.2749"
"06 Jul 21","1.2755"
"05 Jul 21","1.276"
"02 Jul 21","1.2729"
"01 Jul 21","1.2746"
"30 Jun 21","1.2772"
"29 Jun 21","1.274"
"28 Jun 21","1.2759"
"25 Jun 21","1.2748"
"24 Jun 21","1.2772"
"23 Jun 21","1.2807"
"22 Jun 21","1.281"
"21 Jun 21","1.2772"
"18 Jun 21","1.2741"
"17 Jun 21","1.2771"
"16 Jun 21","1.2687"
"15 Jun 21","1.2656"
"14 Jun 21","1.2695"
"11 Jun 21","1.2695"
"10 Jun 21","1.2671"
"09 Jun 21","1.2654"
"08 Jun 21","1.268"
"07 Jun 21","1.2722"
"04 Jun 21","1.2746"
"03 Jun 21","1.2822"
"02 Jun 21","1.2727"
"01 Jun 21","1.2689"
"28 May 21","1.276"
"27 May 21","1.2732"
"26 May 21","1.2675"
"25 May 21","1.2667"
"24 May 21","1.2698"
"21 May 21","1.2723"
