"Date","Spot exchange rate, US $ into Sterling                          XUDLUSS"
"02 Nov 22","1.1463"
"01 Nov 22","1.146"
"31 Oct 22","1.1514"
"28 Oct 22","1.1592"
"27 Oct 22","1.1581"
"26 Oct 22","1.16"
"25 Oct 22","1.1458"
"24 Oct 22","1.1314"
"21 Oct 22","1.1126"
"20 Oct 22","1.1319"
"19 Oct 22","1.126"
"18 Oct 22","1.1322"
"17 Oct 22","1.1434"
"14 Oct 22","1.1251"
"13 Oct 22","1.1237"
"12 Oct 22","1.1072"
"11 Oct 22","1.1083"
"10 Oct 22","1.1048"
"07 Oct 22","1.1117"
"06 Oct 22","1.1199"
"05 Oct 22","1.1245"
"04 Oct 22","1.1404"
"03 Oct 22","1.128"
"30 Sep 22","1.117"
"29 Sep 22","1.1034"
"28 Sep 22","1.0745"
"27 Sep 22","1.0774"
"26 Sep 22","1.0787"
"23 Sep 22","1.0897"
"22 Sep 22","1.1265"
"21 Sep 22","1.1333"
"20 Sep 22","1.1415"
"16 Sep 22","1.1431"
"15 Sep 22","1.149"
"14 Sep 22","1.158"
"13 Sep 22","1.1541"
"12 Sep 22","1.1704"
"09 Sep 22","1.1583"
"08 Sep 22","1.1491"
"07 Sep 22","1.1467"
"06 Sep 22","1.1529"
"05 Sep 22","1.1507"
"02 Sep 22","1.1584"
"01 Sep 22","1.1526"
"31 Aug 22","1.1638"
"30 Aug 22","1.1631"
"26 Aug 22","1.1792"
"25 Aug 22","1.1826"
"24 Aug 22","1.1818"
"23 Aug 22","1.1852"
"22 Aug 22","1.179"
"19 Aug 22","1.1805"
"18 Aug 22","1.2003"
"17 Aug 22","1.2044"
"16 Aug 22","1.2095"
"15 Aug 22","1.208"
"12 Aug 22","1.2118"
"11 Aug 22","1.2226"
"10 Aug 22","1.2259"
"09 Aug 22","1.2088"
"08 Aug 22","1.2119"
"05 Aug 22","1.206"
"04 Aug 22","1.2111"
"03 Aug 22","1.2112"
"02 Aug 22","1.2218"
"01 Aug 22","1.2283"
"29 Jul 22","1.2162"
"28 Jul 22","1.2114"
"27 Jul 22","1.2031"
"26 Jul 22","1.2044"
"25 Jul 22","1.2045"
"22 Jul 22","1.204"
"21 Jul 22","1.1947"
"20 Jul 22","1.1998"
"19 Jul 22","1.2027"
"18 Jul 22","1.2026"
"15 Jul 22","1.1855"
"14 Jul 22","1.1785"
"13 Jul 22","1.1954"
"12 Jul 22","1.1888"
"11 Jul 22","1.1885"
"08 Jul 22","1.2025"
"07 Jul 22","1.2001"
"06 Jul 22","1.1912"
"05 Jul 22","1.1916"
"04 Jul 22","1.2117"
"01 Jul 22","1.2005"
"30 Jun 22","1.2143"
"29 Jun 22","1.2121"
"28 Jun 22","1.2201"
"27 Jun 22","1.2303"
"24 Jun 22","1.2288"
"23 Jun 22","1.2242"
"22 Jun 22","1.2254"
"21 Jun 22","1.2282"
"20 Jun 22","1.2255"
"17 Jun 22","1.2182"
"16 Jun 22","1.2274"
"15 Jun 22","1.2066"
"14 Jun 22","1.2001"
"13 Jun 22","1.2131"
"10 Jun 22","1.2342"
"09 Jun 22","1.254"
"08 Jun 22","1.2549"
"07 Jun 22","1.258"
"06 Jun 22","1.2557"
"01 Jun 22","1.2496"
"31 May 22","1.2601"
"30 May 22","1.2648"
"27 May 22","1.2615"
"26 May 22","1.2573"
"25 May 22","1.2545"
"24 May 22","1.2525"
"23 May 22","1.2571"
"20 May 22","1.2466"
"19 May 22","1.2489"
"18 May 22","1.2413"
"17 May 22","1.247"
"16 May 22","1.225"
"13 May 22","1.222"
"12 May 22","1.2228"
"11 May 22","1.234"
"10 May 22","1.2313"
"09 May 22","1.2306"
"06 May 22","1.235"
"05 May 22","1.2374"
"04 May 22","1.2499"
"03 May 22","1.2514"
"29 Apr 22","1.2556"
"28 Apr 22","1.2439"
"27 Apr 22","1.2503"
"26 Apr 22","1.2621"
"25 Apr 22","1.2717"
"22 Apr 22","1.2843"
"21 Apr 22","1.3031"
"20 Apr 22","1.3048"
