"Date","Spot exchange rate, Euro into Sterling                          XUDLERS"
"25 Mar 21","1.1653"
"24 Mar 21","1.1598"
"23 Mar 21","1.1618"
"22 Mar 21","1.1612"
"19 Mar 21","1.1648"
"18 Mar 21","1.1689"
"17 Mar 21","1.1667"
"16 Mar 21","1.168"
"15 Mar 21","1.1633"
"12 Mar 21","1.1638"
"11 Mar 21","1.1681"
"10 Mar 21","1.1688"
"09 Mar 21","1.1689"
"08 Mar 21","1.1648"
"05 Mar 21","1.1604"
"04 Mar 21","1.162"
"03 Mar 21","1.1575"
"02 Mar 21","1.1563"
"01 Mar 21","1.1566"
"26 Feb 21","1.1513"
"25 Feb 21","1.1565"
"24 Feb 21","1.1633"
"23 Feb 21","1.16"
"22 Feb 21","1.1577"
"19 Feb 21","1.1552"
"18 Feb 21","1.1553"
"17 Feb 21","1.1513"
"16 Feb 21","1.1492"
"15 Feb 21","1.1467"
"12 Feb 21","1.1427"
"11 Feb 21","1.1401"
"10 Feb 21","1.1413"
"09 Feb 21","1.1404"
"08 Feb 21","1.1405"
"05 Feb 21","1.1414"
"04 Feb 21","1.1402"
"03 Feb 21","1.136"
"02 Feb 21","1.1331"
"01 Feb 21","1.1308"
"29 Jan 21","1.13"
"28 Jan 21","1.1317"
"27 Jan 21","1.1335"
"26 Jan 21","1.1294"
"25 Jan 21","1.127"
"22 Jan 21","1.123"
"21 Jan 21","1.1299"
"20 Jan 21","1.1259"
"19 Jan 21","1.1228"
"18 Jan 21","1.1242"
"15 Jan 21","1.1234"
"14 Jan 21","1.1272"
"13 Jan 21","1.121"
"12 Jan 21","1.1202"
"11 Jan 21","1.1103"
"08 Jan 21","1.1088"
"07 Jan 21","1.1048"
"06 Jan 21","1.1032"
"05 Jan 21","1.1074"
"04 Jan 21","1.1065"
"31 Dec 20","1.1118"
"30 Dec 20","1.1063"
"29 Dec 20","1.1022"
"24 Dec 20","1.1142"
"23 Dec 20","1.1095"
"22 Dec 20","1.0945"
"21 Dec 20","1.0902"
"18 Dec 20","1.1022"
"17 Dec 20","1.1098"
"16 Dec 20","1.1073"
"15 Dec 20","1.106"
"14 Dec 20","1.0991"
"11 Dec 20","1.0916"
"10 Dec 20","1.0946"
"09 Dec 20","1.1088"
"08 Dec 20","1.103"
"07 Dec 20","1.0972"
"04 Dec 20","1.1098"
"03 Dec 20","1.11"
"02 Dec 20","1.1032"
"01 Dec 20","1.1104"
"30 Nov 20","1.116"
"27 Nov 20","1.1171"
"26 Nov 20","1.1198"
"25 Nov 20","1.1241"
"24 Nov 20","1.1247"
"23 Nov 20","1.125"
"20 Nov 20","1.1207"
"19 Nov 20","1.1171"
"18 Nov 20","1.1201"
"17 Nov 20","1.1165"
"16 Nov 20","1.1132"
"13 Nov 20","1.1133"
"12 Nov 20","1.1117"
"11 Nov 20","1.1224"
"10 Nov 20","1.1208"
"09 Nov 20","1.1118"
"06 Nov 20","1.1079"
"05 Nov 20","1.1088"
