"Date","Spot exchange rate, Polish Zloty into Sterling                          XUDLBK47"
"25 Mar 21","5.414"
"24 Mar 21","5.3648"
"23 Mar 21","5.3617"
"22 Mar 21","5.3351"
"19 Mar 21","5.3783"
"18 Mar 21","5.3986"
"17 Mar 21","5.3794"
"16 Mar 21","5.3667"
"15 Mar 21","5.3398"
"12 Mar 21","5.332"
"11 Mar 21","5.3522"
"10 Mar 21","5.3455"
"09 Mar 21","5.353"
"08 Mar 21","5.3545"
"05 Mar 21","5.3279"
"04 Mar 21","5.2922"
"03 Mar 21","5.2615"
"02 Mar 21","5.2499"
"01 Mar 21","5.2451"
"26 Feb 21","5.2067"
"25 Feb 21","5.2162"
"24 Feb 21","5.2454"
"23 Feb 21","5.2254"
"22 Feb 21","5.204"
"19 Feb 21","5.1757"
"18 Feb 21","5.1917"
"17 Feb 21","5.1797"
"16 Feb 21","5.1634"
"15 Feb 21","5.1386"
"12 Feb 21","5.138"
"11 Feb 21","5.1287"
"10 Feb 21","5.1226"
"09 Feb 21","5.1023"
"08 Feb 21","5.1055"
"05 Feb 21","5.12"
"04 Feb 21","5.1336"
"03 Feb 21","5.0943"
"02 Feb 21","5.0802"
"01 Feb 21","5.1027"
"29 Jan 21","5.1061"
"28 Jan 21","5.1415"
"27 Jan 21","5.1552"
"26 Jan 21","5.1337"
"25 Jan 21","5.1169"
"22 Jan 21","5.0972"
"21 Jan 21","5.1236"
"20 Jan 21","5.1027"
"19 Jan 21","5.0865"
"18 Jan 21","5.0935"
"15 Jan 21","5.1"
"14 Jan 21","5.122"
"13 Jan 21","5.0868"
"12 Jan 21","5.0734"
"11 Jan 21","5.0209"
"08 Jan 21","5.0024"
"07 Jan 21","4.9829"
"06 Jan 21","4.9872"
"05 Jan 21","5.0227"
"04 Jan 21","5.0291"
"31 Dec 20","5.0661"
"30 Dec 20","5.0914"
"29 Dec 20","5.0062"
"24 Dec 20","5.0099"
"23 Dec 20","4.9957"
"22 Dec 20","4.9337"
"21 Dec 20","4.9054"
"18 Dec 20","4.9304"
"17 Dec 20","4.924"
"16 Dec 20","4.9176"
"15 Dec 20","4.907"
"14 Dec 20","4.8797"
"11 Dec 20","4.8472"
"10 Dec 20","4.8446"
"09 Dec 20","4.9141"
"08 Dec 20","4.9137"
"07 Dec 20","4.9038"
"04 Dec 20","4.958"
"03 Dec 20","4.9593"
"02 Dec 20","4.948"
