Segment,Country, Product ,Date,Quantity,Unit Cost,Sale Price,COGS,Discount, Discount Band 
Enterprise,Canada,Montana,24/10/2020,345,5,125,41400,0, None 
Midmarket,Canada,Paseo,20/09/2020,549,10,15,5490,0, None 
Small Business,Spain,Paseo,05/09/2020,788,10,300,197000,0, None 
Government,Canada,Paseo,06/11/2020,1725,10,350,448500,0, None 
Channel Partners,UK,Paseo,03/11/2020,912,10,12,2736,0, None 
Midmarket,Canada,Paseo,20/12/2020,2152,10,15,21520,0, None 
Enterprise,Canada,Velo,09/10/2020,345,120,125,41400,0, None 
Government,UK,VTT,21/09/2020,1527,250,350,397020,0, None 
Enterprise,UK,Carretera,25/09/2020,330,3,125,39600,412.5, Low 
Channel Partners,Germany,Carretera,15/10/2020,766,3,12,2298,91.92, Low 
Small Business,Spain,Carretera,28/10/2020,494,3,300,123500,1482, Low 
Small Business,UK,Montana,09/09/2020,2498,5,300,624500,7494, Low 
Enterprise,UK,Montana,09/10/2020,663,5,125,79560,828.75, Low 
Channel Partners,Germany,Paseo,14/10/2020,766,10,12,2298,91.92, Low 
Enterprise,UK,Velo,13/10/2020,663,120,125,79560,828.75, Low 
Government,Canada,Velo,02/11/2020,2092,120,7,10460,146.44, Low 
Small Business,Spain,VTT,22/10/2020,494,250,300,123500,1482, Low 
Channel Partners,UK,Amarilla,13/09/2020,1989,260,12,5967,238.68, Low 
Midmarket,Germany,Amarilla,22/11/2020,321,260,15,3210,48.15, Low 
Small Business,Germany,Carretera,29/10/2020,214,3,300,53500,1284, Low 
Government,France,Carretera,07/11/2020,2145,3,7,10725,300.3, Low 
Enterprise,Spain,Montana,29/11/2020,1660,5,125,199200,4150, Low 
Enterprise,Germany,Paseo,30/10/2020,809,10,125,97080,2022.5, Low 
Enterprise,UK,Paseo,06/10/2020,2145,10,125,257400,5362.5, Low 
Channel Partners,France,Paseo,21/11/2020,1785,10,12,5355,428.4, Low 
Midmarket,UK,Paseo,03/12/2020,1925,10,15,19250,577.5, Low 
Government,UK,Paseo,16/12/2020,2013,10,7,10065,281.82, Low 
Government,Germany,Velo,07/10/2020,2966,120,350,771160,20762, Low 
Enterprise,Germany,Velo,29/10/2020,809,120,125,97080,2022.5, Low 
Enterprise,Germany,Velo,27/10/2020,2145,120,125,257400,5362.5, Low 
Government,Germany,Velo,13/12/2020,544,120,20,5440,217.6, Low 
Small Business,Germany,VTT,22/10/2020,214,250,300,53500,1284, Low 
Government,UK,VTT,12/12/2020,266,250,350,69160,1862, Low 
Government,Spain,VTT,02/12/2020,1940,250,350,504400,13580, Low 
Government,Germany,Amarilla,09/10/2020,2966,260,350,771160,20762, Low 
Channel Partners,Canada,Carretera,05/12/2020,908,3,12,2724,326.88, Low 
Government,Germany,Montana,11/09/2020,1797,5,350,467220,18868.5, Low 
Midmarket,Germany,Paseo,21/10/2020,1945,10,15,19450,875.25, Low 
Midmarket,Germany,VTT,21/10/2020,1945,250,15,19450,875.25, Low 
Government,Spain,Paseo,18/09/2020,1760,10,7,8800,369.6, Low 
Midmarket,France,Paseo,30/12/2020,2261,10,15,22610,1356.6, Low 
Government,UK,Velo,15/09/2020,736,120,20,7360,588.8, Low 
