Date,Month Key,Month,Quarter,Year,Day Of Week Key,Day Of Week,Day Of Month,Year Quarter,Year Month,Year Month Key
2018-01-01,1,Jan,Q1,2018,2,Mon,1,2018-Q1,2018-Jan,201801
2018-01-02,1,Jan,Q1,2018,3,Tue,2,2018-Q1,2018-Jan,201801
2018-01-03,1,Jan,Q1,2018,4,Wed,3,2018-Q1,2018-Jan,201801
2018-01-04,1,Jan,Q1,2018,5,Thu,4,2018-Q1,2018-Jan,201801
2018-01-05,1,Jan,Q1,2018,6,Fri,5,2018-Q1,2018-Jan,201801
2018-01-06,1,Jan,Q1,2018,7,Sat,6,2018-Q1,2018-Jan,201801
2018-01-07,1,Jan,Q1,2018,1,Sun,7,2018-Q1,2018-Jan,201801
2018-01-08,1,Jan,Q1,2018,2,Mon,8,2018-Q1,2018-Jan,201801
2018-01-09,1,Jan,Q1,2018,3,Tue,9,2018-Q1,2018-Jan,201801
2018-01-10,1,Jan,Q1,2018,4,Wed,10,2018-Q1,2018-Jan,201801
2018-01-11,1,Jan,Q1,2018,5,Thu,11,2018-Q1,2018-Jan,201801
2018-01-12,1,Jan,Q1,2018,6,Fri,12,2018-Q1,2018-Jan,201801
2018-01-13,1,Jan,Q1,2018,7,Sat,13,2018-Q1,2018-Jan,201801
2018-01-14,1,Jan,Q1,2018,1,Sun,14,2018-Q1,2018-Jan,201801
2018-01-15,1,Jan,Q1,2018,2,Mon,15,2018-Q1,2018-Jan,201801
2018-01-16,1,Jan,Q1,2018,3,Tue,16,2018-Q1,2018-Jan,201801
2018-01-17,1,Jan,Q1,2018,4,Wed,17,2018-Q1,2018-Jan,201801
2018-01-18,1,Jan,Q1,2018,5,Thu,18,2018-Q1,2018-Jan,201801
2018-01-19,1,Jan,Q1,2018,6,Fri,19,2018-Q1,2018-Jan,201801
2018-01-20,1,Jan,Q1,2018,7,Sat,20,2018-Q1,2018-Jan,201801
2018-01-21,1,Jan,Q1,2018,1,Sun,21,2018-Q1,2018-Jan,201801
2018-01-22,1,Jan,Q1,2018,2,Mon,22,2018-Q1,2018-Jan,201801
2018-01-23,1,Jan,Q1,2018,3,Tue,23,2018-Q1,2018-Jan,201801
2018-01-24,1,Jan,Q1,2018,4,Wed,24,2018-Q1,2018-Jan,201801
2018-01-25,1,Jan,Q1,2018,5,Thu,25,2018-Q1,2018-Jan,201801
2018-01-26,1,Jan,Q1,2018,6,Fri,26,2018-Q1,2018-Jan,201801
2018-01-27,1,Jan,Q1,2018,7,Sat,27,2018-Q1,2018-Jan,201801
2018-01-28,1,Jan,Q1,2018,1,Sun,28,2018-Q1,2018-Jan,201801
2018-01-29,1,Jan,Q1,2018,2,Mon,29,2018-Q1,2018-Jan,201801
2018-01-30,1,Jan,Q1,2018,3,Tue,30,2018-Q1,2018-Jan,201801
2018-01-31,1,Jan,Q1,2018,4,Wed,31,2018-Q1,2018-Jan,201801
2018-02-01,2,Feb,Q1,2018,5,Thu,1,2018-Q1,2018-Feb,201802
2018-02-02,2,Feb,Q1,2018,6,Fri,2,2018-Q1,2018-Feb,201802
2018-02-03,2,Feb,Q1,2018,7,Sat,3,2018-Q1,2018-Feb,201802
2018-02-04,2,Feb,Q1,2018,1,Sun,4,2018-Q1,2018-Feb,201802
2018-02-05,2,Feb,Q1,2018,2,Mon,5,2018-Q1,2018-Feb,201802
2018-02-06,2,Feb,Q1,2018,3,Tue,6,2018-Q1,2018-Feb,201802
2018-02-07,2,Feb,Q1,2018,4,Wed,7,2018-Q1,2018-Feb,201802
2018-02-08,2,Feb,Q1,2018,5,Thu,8,2018-Q1,2018-Feb,201802
2018-02-09,2,Feb,Q1,2018,6,Fri,9,2018-Q1,2018-Feb,201802
2018-02-10,2,Feb,Q1,2018,7,Sat,10,2018-Q1,2018-Feb,201802
2018-02-11,2,Feb,Q1,2018,1,Sun,11,2018-Q1,2018-Feb,201802
2018-02-12,2,Feb,Q1,2018,2,Mon,12,2018-Q1,2018-Feb,201802
2018-02-13,2,Feb,Q1,2018,3,Tue,13,2018-Q1,2018-Feb,201802
2018-02-14,2,Feb,Q1,2018,4,Wed,14,2018-Q1,2018-Feb,201802
2018-02-15,2,Feb,Q1,2018,5,Thu,15,2018-Q1,2018-Feb,201802
2018-02-16,2,Feb,Q1,2018,6,Fri,16,2018-Q1,2018-Feb,201802
2018-02-17,2,Feb,Q1,2018,7,Sat,17,2018-Q1,2018-Feb,201802
2018-02-18,2,Feb,Q1,2018,1,Sun,18,2018-Q1,2018-Feb,201802
2018-02-19,2,Feb,Q1,2018,2,Mon,19,2018-Q1,2018-Feb,201802
2018-02-20,2,Feb,Q1,2018,3,Tue,20,2018-Q1,2018-Feb,201802
2018-02-21,2,Feb,Q1,2018,4,Wed,21,2018-Q1,2018-Feb,201802
2018-02-22,2,Feb,Q1,2018,5,Thu,22,2018-Q1,2018-Feb,201802
2018-02-23,2,Feb,Q1,2018,6,Fri,23,2018-Q1,2018-Feb,201802
2018-02-24,2,Feb,Q1,2018,7,Sat,24,2018-Q1,2018-Feb,201802
2018-02-25,2,Feb,Q1,2018,1,Sun,25,2018-Q1,2018-Feb,201802
2018-02-26,2,Feb,Q1,2018,2,Mon,26,2018-Q1,2018-Feb,201802
2018-02-27,2,Feb,Q1,2018,3,Tue,27,2018-Q1,2018-Feb,201802
2018-02-28,2,Feb,Q1,2018,4,Wed,28,2018-Q1,2018-Feb,201802
2018-03-01,3,Mar,Q1,2018,5,Thu,1,2018-Q1,2018-Mar,201803
2018-03-02,3,Mar,Q1,2018,6,Fri,2,2018-Q1,2018-Mar,201803
2018-03-03,3,Mar,Q1,2018,7,Sat,3,2018-Q1,2018-Mar,201803
2018-03-04,3,Mar,Q1,2018,1,Sun,4,2018-Q1,2018-Mar,201803
2018-03-05,3,Mar,Q1,2018,2,Mon,5,2018-Q1,2018-Mar,201803
