Date,Number of Bicycle Hires
30/07/2010,6897
31/07/2010,5564
01/08/2010,4303
02/08/2010,6642
03/08/2010,7966
04/08/2010,7893
05/08/2010,8724
06/08/2010,9797
07/08/2010,6631
08/08/2010,7864
09/08/2010,6191
10/08/2010,4802
11/08/2010,14013
12/08/2010,13080
13/08/2010,12151
14/08/2010,9195
15/08/2010,10928
16/08/2010,15384
17/08/2010,15396
18/08/2010,16062
19/08/2010,17170
20/08/2010,16462
21/08/2010,11719
22/08/2010,10129
23/08/2010,12935
24/08/2010,17006
25/08/2010,10062
26/08/2010,9875
27/08/2010,12854
28/08/2010,10116
29/08/2010,7811
30/08/2010,10534
31/08/2010,17508
01/09/2010,19332
02/09/2010,20909
03/09/2010,20113
04/09/2010,14373
05/09/2010,12924
06/09/2010,16841
07/09/2010,25361
08/09/2010,18727
09/09/2010,20774
10/09/2010,19532
11/09/2010,13383
12/09/2010,14002
13/09/2010,18037
14/09/2010,17026
15/09/2010,20890
16/09/2010,20433
17/09/2010,20488
18/09/2010,15495
19/09/2010,11492
20/09/2010,20169
21/09/2010,22906
22/09/2010,23905
23/09/2010,17729
24/09/2010,18053
25/09/2010,14010
26/09/2010,7890
27/09/2010,18789
28/09/2010,21554
29/09/2010,13899
30/09/2010,21823
01/10/2010,11424
02/10/2010,10704
03/10/2010,8237
04/10/2010,23688
05/10/2010,22054
06/10/2010,20114
07/10/2010,24072
08/10/2010,22886
09/10/2010,14463
10/10/2010,14871
11/10/2010,21986
12/10/2010,23016
13/10/2010,22251
14/10/2010,21582
15/10/2010,20934
16/10/2010,12735
17/10/2010,12764
18/10/2010,20464
19/10/2010,17964
20/10/2010,20750
21/10/2010,21161
22/10/2010,20164
23/10/2010,11584
24/10/2010,11259
25/10/2010,18430
26/10/2010,13950
27/10/2010,19559
28/10/2010,19995
29/10/2010,19119
30/10/2010,13493
31/10/2010,8739
01/11/2010,19785
02/11/2010,21754
03/11/2010,27964
04/11/2010,22424
05/11/2010,15815
06/11/2010,11877
07/11/2010,9331
08/11/2010,11328
09/11/2010,16026
10/11/2010,19767
11/11/2010,12901
12/11/2010,14534
13/11/2010,12123
14/11/2010,6235
15/11/2010,18086
16/11/2010,18764
17/11/2010,17005
18/11/2010,15974
19/11/2010,18545
20/11/2010,10806
21/11/2010,8356
22/11/2010,17258
23/11/2010,17427
24/11/2010,18628
25/11/2010,16822
26/11/2010,16092
27/11/2010,7867
28/11/2010,6866
29/11/2010,16681
30/11/2010,9263
01/12/2010,9848
02/12/2010,7356
03/12/2010,8264
04/12/2010,7857
05/12/2010,8321
06/12/2010,13855
07/12/2010,15033
08/12/2010,15225
09/12/2010,16171
10/12/2010,15602
11/12/2010,10328
12/12/2010,8585
13/12/2010,14997
14/12/2010,15550
15/12/2010,13412
16/12/2010,10833
17/12/2010,10366
18/12/2010,2805
19/12/2010,2764
20/12/2010,6876
21/12/2010,7879
22/12/2010,9718
23/12/2010,8867
24/12/2010,5402
25/12/2010,5621
26/12/2010,4383
27/12/2010,3971
28/12/2010,3763
29/12/2010,7010
