Airport Group Name,Airport Name,IATA Code
London Area Airports,GATWICK,LGW
London Area Airports,HEATHROW,LHR
London Area Airports,LONDON CITY,LCY
London Area Airports,LUTON,LTN
London Area Airports,SOUTHEND,SEN
London Area Airports,STANSTED,STN
Miscellaneous,EDMISTON LONDON HELIPORT,
Non UK Reporting Airports,ALDERNEY,
Non UK Reporting Airports,GUERNSEY,
Non UK Reporting Airports,ISLE OF MAN,
Non UK Reporting Airports,JERSEY,JER
Other UK Airports,ABERDEEN,
Other UK Airports,BARRA,
Other UK Airports,BELFAST CITY (GEORGE BEST),
Other UK Airports,BELFAST INTERNATIONAL,
Other UK Airports,BENBECULA,
Other UK Airports,BIGGIN HILL,
Other UK Airports,BIRMINGHAM,BHX
Other UK Airports,BLACKPOOL,
Other UK Airports,BOURNEMOUTH,
Other UK Airports,BRISTOL,
Other UK Airports,CAMBRIDGE,
Other UK Airports,CAMPBELTOWN,
Other UK Airports,CARDIFF WALES,
Other UK Airports,CITY OF DERRY (EGLINTON),
Other UK Airports,COVENTRY,
Other UK Airports,DUNDEE,
Other UK Airports,EAST MIDLANDS INTERNATIONAL,
Other UK Airports,EDINBURGH,
Other UK Airports,EXETER,
Other UK Airports,GLASGOW,
Other UK Airports,GLOUCESTERSHIRE,
Other UK Airports,HAWARDEN,
Other UK Airports,HUMBERSIDE,
Other UK Airports,INVERNESS,
Other UK Airports,ISLAY,
Other UK Airports,ISLES OF SCILLY (ST.MARYS),
Other UK Airports,KIRKWALL,
Other UK Airports,LANDS END (ST JUST),
Other UK Airports,LEEDS BRADFORD,
Other UK Airports,LERWICK (TINGWALL),
Other UK Airports,LIVERPOOL (JOHN LENNON),
Other UK Airports,LYDD,
Other UK Airports,MANCHESTER,MAN
Other UK Airports,NEWCASTLE,
Other UK Airports,NEWQUAY,
Other UK Airports,NORWICH,
Other UK Airports,OXFORD (KIDLINGTON),
Other UK Airports,PRESTWICK,
Other UK Airports,SHOREHAM,
Other UK Airports,SOUTHAMPTON,
Other UK Airports,STORNOWAY,
Other UK Airports,SUMBURGH,
Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,
Other UK Airports,TIREE,
Other UK Airports,WICK JOHN O GROATS,
Other UK Airports,DONCASTER SHEFFIELD,
