DateKey,Date,MonthKey,Month,Quarter,Year,WeekDayKey,WeekDay,Day Of Month,Year-Quarter,YearMonth,YearMonthKey
20100101,01-Jan-2010,1,Jan,Q1,2010,6,Fri,1,2010-Q1,2010-Jan,201001
20100102,02-Jan-2010,1,Jan,Q1,2010,7,Sat,2,2010-Q1,2010-Jan,201001
20100103,03-Jan-2010,1,Jan,Q1,2010,1,Sun,3,2010-Q1,2010-Jan,201001
20100104,04-Jan-2010,1,Jan,Q1,2010,2,Mon,4,2010-Q1,2010-Jan,201001
20100105,05-Jan-2010,1,Jan,Q1,2010,3,Tue,5,2010-Q1,2010-Jan,201001
20100106,06-Jan-2010,1,Jan,Q1,2010,4,Wed,6,2010-Q1,2010-Jan,201001
20100107,07-Jan-2010,1,Jan,Q1,2010,5,Thu,7,2010-Q1,2010-Jan,201001
20100108,08-Jan-2010,1,Jan,Q1,2010,6,Fri,8,2010-Q1,2010-Jan,201001
20100109,09-Jan-2010,1,Jan,Q1,2010,7,Sat,9,2010-Q1,2010-Jan,201001
20100110,10-Jan-2010,1,Jan,Q1,2010,1,Sun,10,2010-Q1,2010-Jan,201001
20100111,11-Jan-2010,1,Jan,Q1,2010,2,Mon,11,2010-Q1,2010-Jan,201001
20100112,12-Jan-2010,1,Jan,Q1,2010,3,Tue,12,2010-Q1,2010-Jan,201001
20100113,13-Jan-2010,1,Jan,Q1,2010,4,Wed,13,2010-Q1,2010-Jan,201001
20100114,14-Jan-2010,1,Jan,Q1,2010,5,Thu,14,2010-Q1,2010-Jan,201001
20100115,15-Jan-2010,1,Jan,Q1,2010,6,Fri,15,2010-Q1,2010-Jan,201001
20100116,16-Jan-2010,1,Jan,Q1,2010,7,Sat,16,2010-Q1,2010-Jan,201001
20100117,17-Jan-2010,1,Jan,Q1,2010,1,Sun,17,2010-Q1,2010-Jan,201001
20100118,18-Jan-2010,1,Jan,Q1,2010,2,Mon,18,2010-Q1,2010-Jan,201001
20100119,19-Jan-2010,1,Jan,Q1,2010,3,Tue,19,2010-Q1,2010-Jan,201001
20100120,20-Jan-2010,1,Jan,Q1,2010,4,Wed,20,2010-Q1,2010-Jan,201001
20100121,21-Jan-2010,1,Jan,Q1,2010,5,Thu,21,2010-Q1,2010-Jan,201001
20100122,22-Jan-2010,1,Jan,Q1,2010,6,Fri,22,2010-Q1,2010-Jan,201001
20100123,23-Jan-2010,1,Jan,Q1,2010,7,Sat,23,2010-Q1,2010-Jan,201001
20100124,24-Jan-2010,1,Jan,Q1,2010,1,Sun,24,2010-Q1,2010-Jan,201001
20100125,25-Jan-2010,1,Jan,Q1,2010,2,Mon,25,2010-Q1,2010-Jan,201001
20100126,26-Jan-2010,1,Jan,Q1,2010,3,Tue,26,2010-Q1,2010-Jan,201001
20100127,27-Jan-2010,1,Jan,Q1,2010,4,Wed,27,2010-Q1,2010-Jan,201001
20100128,28-Jan-2010,1,Jan,Q1,2010,5,Thu,28,2010-Q1,2010-Jan,201001
20100129,29-Jan-2010,1,Jan,Q1,2010,6,Fri,29,2010-Q1,2010-Jan,201001
20100130,30-Jan-2010,1,Jan,Q1,2010,7,Sat,30,2010-Q1,2010-Jan,201001
