 Year,Borough,Attendances,DNA,Patient cancellations,Hospital cancellations,Unknown 
 2011-12,Lambeth,100,103,106,109,112
 2012-13,Lambeth,115,118,121,124,127
 2013-14,Lambeth,130,133,136,139,142
 2014-15,Lambeth,145,148,151,154,157
 2015-16,Lambeth,160,163,166,169,172
 2016-17,Lambeth,175,178,181,184,187
 2017-18,Lambeth,190,193,196,199,202
 2018-19,Lambeth,205,208,211,214,217
 2019-20,Lambeth,220,223,226,229,232
 2020-21,Lambeth,235,238,241,244,247
 2021-22,Lambeth,250,253,256,259,262
 2022-23,Lambeth,265,268,271,274,277
