Name,Gender,Year,Rank
Aaliyah,girls,2002,92
Aaliyah,girls,2003,96
Aaron,boys,1984,53
Aaron,boys,1994,32
Aaron,boys,1996,33
Aaron,boys,1997,32
Aaron,boys,1998,31
Aaron,boys,1999,36
Aaron,boys,2000,36
Aaron,boys,2001,40
Aaron,boys,2002,36
Aaron,boys,2003,43
Aaron,boys,2004,41
Aaron,boys,2005,45
Aaron,boys,2006,44
Aaron,boys,2007,49
Aaron,boys,2008,55
Aaron,boys,2009,54
Aaron,boys,2010,55
Aaron,boys,2011,58
Aaron,boys,2012,69
Aaron,boys,2013,81
Aaron,boys,2014,80
Aaron,boys,2015,87
Aaron,boys,2016,95
Abbie,girls,1994,62
Abbie,girls,1996,45
Abbie,girls,1997,55
Abbie,girls,1998,52
Abbie,girls,1999,52
Abbie,girls,2000,46
Abbie,girls,2001,44
Abbie,girls,2002,42
Abbie,girls,2003,38
Abbie,girls,2004,44
Abbie,girls,2005,53
Abbie,girls,2006,80
Abbie,girls,2007,88
Abbie,girls,2008,96
Abby,girls,2002,100
Abby,girls,2003,100
Abdul,boys,1934,78
Abdul,boys,1954,74
Abdul,boys,1974,86
Abdul,boys,1984,96
Abigail,girls,1984,80
Abigail,girls,1994,23
Abigail,girls,1996,21
Abigail,girls,1997,24
Abigail,girls,1998,22
Abigail,girls,1999,20
Abigail,girls,2000,19
Abigail,girls,2001,22
Abigail,girls,2002,22
Abigail,girls,2003,20
Abigail,girls,2004,19
Abigail,girls,2005,20
Abigail,girls,2006,23
Abigail,girls,2007,24
Abigail,girls,2008,29
Abigail,girls,2009,36
Abigail,girls,2010,34
Abigail,girls,2011,38
Abigail,girls,2012,44
Abigail,girls,2013,46
Abigail,girls,2014,46
Abigail,girls,2015,51
Abigail,girls,2016,58
Abigail,girls,2017,73
Ada,girls,1904,25
Ada,girls,1914,39
Ada,girls,1924,74
Adam,boys,1964,68
Adam,boys,1974,35
Adam,boys,1984,12
Adam,boys,1994,11
Adam,boys,1996,16
Adam,boys,1997,20
Adam,boys,1998,21
Adam,boys,1999,21
Adam,boys,2000,20
Adam,boys,2001,16
Adam,boys,2002,17
Adam,boys,2003,18
Adam,boys,2004,24
Adam,boys,2005,26
Adam,boys,2006,26
Adam,boys,2007,26
Adam,boys,2008,32
Adam,boys,2009,34
Adam,boys,2010,39
Adam,boys,2011,38
Adam,boys,2012,39
Adam,boys,2013,40
Adam,boys,2014,39
Adam,boys,2015,38
Adam,boys,2016,37
Adam,boys,2017,36
Adrian,boys,1944,74
Adrian,boys,1954,54
Adrian,boys,1964,30
Adrian,boys,1974,38
Adrian,boys,1984,63
Agnes,girls,1904,35
Agnes,girls,1914,43
Agnes,girls,1924,54
Agnes,girls,1934,84
Aidan,boys,1996,83
Aidan,boys,1997,82
Aidan,boys,1998,81
Aidan,boys,1999,75
Aidan,boys,2000,72
Aidan,boys,2001,80
Aidan,boys,2002,67
Aidan,boys,2003,72
Aidan,boys,2004,70
Aidan,boys,2005,78
Aidan,boys,2006,86
Aidan,boys,2007,78
Aidan,boys,2008,91
Aidan,boys,2009,78
Aidan,boys,2010,91
Aiden,boys,2009,73
Aiden,boys,2010,66
Aiden,boys,2011,61
Aiden,boys,2012,80
Aiden,boys,2013,92
Aimee,girls,1984,85
Aimee,girls,1994,67
Aimee,girls,1996,70
Aimee,girls,1997,61
Aimee,girls,1998,68
Aimee,girls,1999,70
Aimee,girls,2000,72
Aimee,girls,2001,72
Aimee,girls,2002,65
Aimee,girls,2003,51
Aimee,girls,2004,47
Aimee,girls,2005,48
Aimee,girls,2006,65
Aimee,girls,2007,76
Aimee,girls,2008,86
Aimee,girls,2009,70
Aimee,girls,2010,80
Aisha,girls,2010,96
Aisha,girls,2011,95
Aisha,girls,2012,87
Aisha,girls,2013,94
Aisha,girls,2014,76
Aisha,girls,2015,88
Aisha,girls,2016,87
Aisha,girls,2017,90
Alan,boys,1904,62
Alan,boys,1914,58
Alan,boys,1924,37
Alan,boys,1934,13
Alan,boys,1944,8
Alan,boys,1954,8
Alan,boys,1964,21
Alan,boys,1974,36
Alan,boys,1984,58
Albert,boys,1904,9
Albert,boys,1914,8
Albert,boys,1924,13
Albert,boys,1934,35
Albert,boys,1944,61
Albert,boys,1954,93
Albert,boys,2013,99
Albert,boys,2014,84
Albert,boys,2015,72
Albert,boys,2016,64
Albert,boys,2017,59
Albie,boys,2016,88
Albie,boys,2017,57
Alec,boys,1904,90
Alec,boys,1914,84
Alec,boys,1924,94
Alec,boys,1934,100
Alex,boys,1984,79
Alex,boys,1994,50
Alex,boys,1996,43
Alex,boys,1997,43
Alex,boys,1998,46
Alex,boys,1999,45
Alex,boys,2000,48
Alex,boys,2001,45
Alex,boys,2002,42
Alex,boys,2003,42
Alex,boys,2004,46
Alex,boys,2005,53
Alex,boys,2006,57
Alex,boys,2007,58
Alex,boys,2008,47
Alex,boys,2009,50
Alex,boys,2010,52
Alex,boys,2011,59
Alex,boys,2012,65
Alex,boys,2013,65
Alex,boys,2014,75
Alex,boys,2015,75
Alex,boys,2016,84
Alex,boys,2017,92
Alexander,boys,1904,42
Alexander,boys,1914,53
Alexander,boys,1924,54
Alexander,boys,1934,66
Alexander,boys,1944,66
