Year_Period,Start Date,End Date,Days In Period,Journey Type,Number Of Journeys (m)
10/11_01,01-Apr-2010,01-May-2010,31,Bus,189.1146606
10/11_01,01-Apr-2010,01-May-2010,31,DLR,6.291
10/11_01,01-Apr-2010,01-May-2010,31,Tram,2.2877845
10/11_01,01-Apr-2010,01-May-2010,31,Underground,90.54539076
10/11_02,02-May-2010,29-May-2010,28,Bus,181.6047923
10/11_02,02-May-2010,29-May-2010,28,DLR,5.813
10/11_02,02-May-2010,29-May-2010,28,Tram,2.1547905
10/11_02,02-May-2010,29-May-2010,28,Underground,84.51750361
10/11_03,30-May-2010,26-Jun-2010,28,Bus,175.8831733
10/11_03,30-May-2010,26-Jun-2010,28,DLR,5.752
10/11_03,30-May-2010,26-Jun-2010,28,Tram,2.1291215
10/11_03,30-May-2010,26-Jun-2010,28,Underground,84.28601412
10/11_04,27-Jun-2010,24-Jul-2010,28,Bus,183.4280516
10/11_04,27-Jun-2010,24-Jul-2010,28,DLR,6.06448
10/11_04,27-Jun-2010,24-Jul-2010,28,Tram,2.1419405
10/11_04,27-Jun-2010,24-Jul-2010,28,Underground,86.4796125
10/11_05,25-Jul-2010,21-Aug-2010,28,Bus,160.4227672
10/11_05,25-Jul-2010,21-Aug-2010,28,DLR,5.767624
10/11_05,25-Jul-2010,21-Aug-2010,28,Tram,2.0084825
10/11_05,25-Jul-2010,21-Aug-2010,28,Underground,82.89528685
10/11_06,22-Aug-2010,18-Sep-2010,28,Bus,175.8073358
10/11_06,22-Aug-2010,18-Sep-2010,28,DLR,5.52
10/11_06,22-Aug-2010,18-Sep-2010,28,Tram,2.0267475
10/11_06,22-Aug-2010,18-Sep-2010,28,Underground,80.8557023
10/11_07,19-Sep-2010,16-Oct-2010,28,Bus,189.7979071
10/11_07,19-Sep-2010,16-Oct-2010,28,DLR,6.311515
10/11_07,19-Sep-2010,16-Oct-2010,28,Tram,2.2727365
10/11_07,19-Sep-2010,16-Oct-2010,28,Underground,88.67451986
10/11_08,17-Oct-2010,13-Nov-2010,28,Bus,179.8809146
10/11_08,17-Oct-2010,13-Nov-2010,28,DLR,6.74197
10/11_08,17-Oct-2010,13-Nov-2010,28,Overground,5.634584968
10/11_08,17-Oct-2010,13-Nov-2010,28,Tram,2.2050475
10/11_08,17-Oct-2010,13-Nov-2010,28,Underground,90.28282406
10/11_09,14-Nov-2010,11-Dec-2010,28,Bus,178.8450951
10/11_09,14-Nov-2010,11-Dec-2010,28,DLR,6.437513
10/11_09,14-Nov-2010,11-Dec-2010,28,Overground,5.437621108
10/11_09,14-Nov-2010,11-Dec-2010,28,Tram,2.294527
10/11_09,14-Nov-2010,11-Dec-2010,28,Underground,90.59212668
10/11_10,12-Dec-2010,08-Jan-2011,28,Bus,140.051899
