Date,Open,High,Low,Close,Adj Close,Volume
2021-08-16,224.399994,224.600006,219.903000,223.300003,205.415176,6635041
2021-08-17,221.800003,222.100006,219.000000,220.199997,202.563477,7212268
2021-08-18,220.899994,221.600006,217.100006,221.600006,203.851349,7351017
2021-08-19,214.699997,214.699997,209.651001,209.899994,198.554047,9977923
2021-08-20,210.500000,210.899994,207.199997,210.000000,198.648636,13729840
2021-08-23,212.699997,213.399994,210.600006,212.000000,200.540527,6593802
2021-08-24,212.899994,213.199997,207.600006,209.600006,198.270264,10648893
2021-08-25,208.100006,211.699997,208.100006,209.899994,198.554047,9890428
2021-08-26,208.899994,210.899994,207.500000,207.600006,196.378372,4212042
2021-08-27,207.500000,208.600006,205.199997,208.600006,197.324326,5738044
2021-08-31,207.699997,209.699997,205.899994,206.000000,194.864853,14852718
2021-09-01,208.100006,210.199997,207.500000,208.399994,197.135117,6006193
2021-09-02,207.899994,208.500000,204.899994,205.699997,194.581070,4743550
2021-09-03,205.800003,206.600006,202.399994,202.399994,191.459442,6135862
2021-09-06,203.500000,205.320007,202.699997,203.600006,192.594589,5144485
2021-09-07,204.100006,205.300003,201.500000,201.699997,190.797287,13502413
2021-09-08,200.899994,201.699997,196.074997,199.050003,188.290543,7616631
2021-09-09,197.399994,202.000000,196.151001,201.899994,190.986481,6279130
2021-09-10,203.100006,203.300003,200.699997,201.800003,190.891891,4730236
2021-09-13,203.399994,205.500000,202.800003,205.100006,194.013519,254744
2021-09-14,209.399994,210.399994,203.199005,203.500000,192.500000,6391065
2021-09-15,203.300003,206.100006,203.013000,204.600006,193.540543,12035357
2021-09-16,204.100006,206.300003,202.600006,204.800003,193.729721,6053499
2021-09-17,206.500000,207.000000,201.399994,202.199997,191.270264,17274814
2021-09-20,198.449997,200.399994,197.100006,199.399994,188.621613,8339359
2021-09-21,200.399994,203.013000,199.850006,200.100006,189.283783,3503696
2021-09-22,201.699997,205.699997,201.500000,204.300003,193.256760,6046118
