Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,2142.000000,2160.500000,2108.500000,2120.000000,1313.001953,3911379
2012-06-19,2128.000000,2163.500000,2125.500000,2155.000000,1334.678711,2736464
2012-06-20,2152.500000,2168.000000,2141.500000,2162.000000,1339.014160,3698371
2012-06-21,2149.000000,2155.000000,2125.500000,2131.000000,1319.814575,4230971
2012-06-22,2110.000000,2111.000000,2087.000000,2100.000000,1300.615234,3060976
2012-06-25,2099.000000,2106.000000,2072.000000,2084.000000,1290.705566,2971261
2012-06-26,2085.000000,2090.500000,2068.000000,2077.000000,1286.370117,2170945
2012-06-27,2088.000000,2111.000000,2070.500000,2106.000000,1304.331055,2666374
2012-06-28,2109.000000,2123.000000,2084.500000,2123.000000,1314.859863,3044309
2012-06-29,2156.500000,2173.000000,2140.000000,2147.500000,1330.033691,4283534
2012-07-02,2149.000000,2168.500000,2141.000000,2159.500000,1337.465698,2452513
2012-07-03,2161.500000,2192.000000,2149.500000,2188.500000,1355.426636,2859688
2012-07-04,2186.500000,2201.000000,2180.500000,2198.000000,1361.310425,2580900
2012-07-05,2193.500000,2209.959961,2173.000000,2195.500000,1359.761963,4397061
2012-07-06,2187.000000,2201.500000,2179.000000,2191.500000,1357.284546,3182222
2012-07-09,2189.000000,2190.399902,2146.500000,2154.000000,1334.059326,7365029
2012-07-10,2162.000000,2191.370117,2157.000000,2179.500000,1349.852661,3687419
2012-07-11,2173.000000,2202.000000,2166.000000,2199.500000,1362.239258,2896271
2012-07-12,2192.000000,2210.000000,2187.000000,2202.500000,1364.097534,3554582
2012-07-13,2215.000000,2217.000000,2195.500000,2204.500000,1365.336060,2498795
2012-07-16,2202.500000,2218.000000,2193.500000,2213.500000,1370.909912,2613740
2012-07-17,2228.000000,2232.000000,2201.000000,2203.500000,1364.716675,1866499
2012-07-18,2211.500000,2223.000000,2184.000000,2216.000000,1372.458496,1844811
2012-07-19,2225.000000,2225.000000,2207.500000,2213.000000,1370.600342,2095235
2012-07-20,2212.000000,2222.500000,2205.000000,2217.000000,1373.077881,4424325
2012-07-23,2196.500000,2203.500000,2168.000000,2185.500000,1353.568726,2324375
2012-07-24,2182.500000,2195.000000,2165.500000,2169.500000,1343.659058,1747143
2012-07-25,2167.500000,2198.000000,2158.500000,2187.000000,1354.497803,2567080
2012-07-26,2141.000000,2158.000000,2098.500000,2137.500000,1323.840210,4962692
2012-07-27,2154.500000,2154.500000,2118.000000,2139.500000,1325.078979,3479542
2012-07-30,2142.000000,2180.000000,2137.399902,2171.500000,1344.897827,2305374
2012-07-31,2176.000000,2201.500000,2173.000000,2173.000000,1345.827026,3733209
2012-08-01,2178.000000,2199.000000,2172.000000,2199.000000,1361.929932,2418754
2012-08-02,2200.500000,2245.000000,2190.000000,2199.500000,1362.239258,3405235
2012-08-03,2203.500000,2255.000000,2202.000000,2247.000000,1391.658081,3851340
2012-08-06,2245.000000,2261.000000,2224.000000,2248.500000,1392.587036,3545655
2012-08-07,2258.000000,2286.500000,2252.500000,2286.500000,1416.122070,3039084
2012-08-08,2260.500000,2264.000000,2248.000000,2259.500000,1416.172119,2894584
2012-08-09,2263.500000,2284.500000,2257.500000,2272.500000,1424.319946,2415287
2012-08-10,2268.500000,2277.500000,2251.500000,2260.000000,1416.485474,2157039
2012-08-13,2257.000000,2264.000000,2247.500000,2250.000000,1410.217773,2042201
2012-08-14,2254.000000,2274.500000,2254.000000,2259.500000,1416.172119,2358710
2012-08-15,2260.000000,2273.500000,2258.500000,2263.000000,1418.365601,2247659
2012-08-16,2268.500000,2270.500000,2242.500000,2253.500000,1412.411621,3840191
2012-08-17,2264.000000,2275.000000,2253.500000,2257.000000,1414.605347,3137995
2012-08-20,2258.000000,2261.000000,2237.500000,2249.500000,1409.904297,2880193
2012-08-21,2250.000000,2256.500000,2238.000000,2250.500000,1410.531128,2300842
2012-08-22,2238.500000,2238.500000,2219.929932,2222.000000,1392.668457,1993045
2012-08-23,2234.000000,2234.000000,2214.500000,2221.500000,1392.354858,2220586
2012-08-24,2222.000000,2238.500000,2219.000000,2231.000000,1398.309448,2595154
2012-08-28,2225.000000,2234.000000,2215.000000,2234.000000,1400.189819,2788821
2012-08-29,2229.000000,2233.500000,2215.000000,2215.000000,1388.281372,1429279
2012-08-30,2214.000000,2222.500000,2202.000000,2209.000000,1384.520508,1487944
2012-08-31,2212.500000,2227.500000,2201.500000,2204.000000,1381.386963,4125217
2012-09-03,2203.500000,2228.000000,2197.000000,2226.500000,1395.489014,1392188
