Date,Open,High,Low,Close,Adj Close,Volume
2018-06-19,538.390015,540.429993,533.799988,537.369995,439.016724,2323947
2018-06-20,541.109985,545.530029,539.409973,539.750000,440.960999,2633135
2018-06-21,542.979980,544.000000,527.679993,530.229980,433.183441,1811435
2018-06-22,533.460022,540.260010,532.950012,536.690002,438.461151,2420535
2018-06-25,535.159973,536.349976,524.450012,525.640015,429.433533,2101482
2018-06-26,527.510010,533.630005,524.789978,528.530029,431.794678,2894741
2018-06-27,531.419983,533.119995,524.450012,532.270020,434.850098,2492752
2018-06-28,529.890015,535.500000,521.729980,526.659973,430.266815,4427029
2018-06-29,531.760010,537.710022,531.080017,536.859985,438.600006,4502405
2018-07-02,531.419983,532.609985,527.000000,528.530029,431.794678,2222082
2018-07-03,531.760010,536.520020,528.020020,534.309998,436.516724,2406658
2018-07-04,536.179993,539.409973,532.270020,537.030029,438.738892,1939970
2018-07-05,538.219971,543.830017,538.219971,543.659973,444.155426,1744364
2018-07-06,547.570007,549.270020,542.299988,546.549988,446.516449,2405182
2018-07-09,548.760010,555.729980,547.059998,555.559998,453.877380,2146023
2018-07-10,556.750000,558.450012,551.140015,551.479980,450.544159,2867188
2018-07-11,549.270020,554.369995,533.119995,534.140015,436.377838,3302288
2018-07-12,534.140015,538.219971,531.080017,534.989990,437.072266,2157088
2018-07-13,539.750000,540.770020,535.500000,537.369995,439.016724,2191258
2018-07-16,537.880005,538.729980,532.950012,537.449280,439.081390,3092052
2018-07-17,536.520020,541.960022,536.520020,540.599976,441.655457,2478364
2018-07-18,543.489990,553.179993,541.619995,550.289978,449.571991,2626294
2018-07-19,548.760010,553.179993,543.150024,549.780029,449.155273,1629252
2018-07-20,547.400024,548.929993,541.619995,542.809998,443.460999,2201711
2018-07-23,539.409973,544.000000,537.880005,541.450012,442.349884,1977494
2018-07-24,546.719971,552.669983,539.239990,547.909973,447.627533,1320605
2018-07-25,548.590027,551.309998,546.549988,547.739990,447.488617,2529623
2018-07-26,548.760010,548.760010,521.049988,525.130005,429.016937,4358194
2018-07-27,523.599976,529.549988,515.780029,522.409973,426.794708,7202358
2018-07-30,520.369995,530.229980,516.630005,529.210022,432.350189,4036699
2018-07-31,530.739990,534.989990,526.830017,529.210022,432.350189,4468058
2018-08-01,529.719971,541.280029,527.169983,534.140015,436.377838,4378876
2018-08-02,532.099976,532.609985,514.590027,522.580017,426.933624,4122594
2018-08-03,526.320007,534.989990,524.109985,530.570007,433.461304,5600741
2018-08-06,533.799988,533.799988,527.340027,529.380005,432.489075,3547041
2018-08-07,531.760010,538.900024,530.570007,535.500000,437.488953,2049029
2018-08-08,536.690002,541.789978,535.840027,537.710022,439.294403,2145052
2018-08-09,536.179993,538.559998,532.950012,535.500000,437.488953,2491352
2018-08-10,533.969971,535.669983,523.940002,527.000000,430.544647,3482429
2018-08-13,522.750000,532.270020,522.750000,528.700012,431.933533,1369564
2018-08-14,531.250000,532.270020,524.109985,526.320007,429.989105,1812535
2018-08-15,531.419983,531.419983,516.119995,518.330017,423.461517,2585494
2018-08-16,514.590027,521.390015,514.080017,518.840027,428.800446,2567905
2018-08-17,518.159973,521.900024,516.289978,521.219971,430.767426,1547658
2018-08-20,520.369995,529.549988,520.369995,528.869995,437.089844,1790888
2018-08-21,524.450012,527.510010,521.219971,526.489990,435.122833,2253641
2018-08-22,522.750000,529.549988,522.750000,529.210022,437.370880,1382958
2018-08-23,532.950012,532.950012,526.150024,528.020020,436.387329,1141264
2018-08-24,525.809998,533.119995,525.640015,529.380005,437.511353,1746911
2018-08-28,540.429993,540.429993,530.739990,532.270020,439.899811,1283864
2018-08-29,533.289978,534.650024,525.299988,525.299988,434.139374,2259411
2018-08-30,527.340027,530.909973,520.369995,522.409973,431.750854,1756458
2018-08-31,522.750000,527.000000,519.179993,522.750000,432.031860,2423205
2018-09-03,527.510010,527.510010,520.539978,524.280029,433.296387,1157805
2018-09-04,525.130005,528.700012,516.119995,518.159973,428.238403,1721352
2018-09-05,514.590027,519.179993,508.299988,508.299988,420.089539,3101452
2018-09-06,508.299988,514.250000,505.070007,509.829987,421.354004,2007723
2018-09-07,508.980011,512.549988,499.459991,504.220001,416.717590,2986629
2018-09-10,504.899994,508.470001,500.140015,505.750000,417.982086,1918823
2018-09-11,504.220001,508.640015,501.329987,507.790009,419.668060,2207299
2018-09-12,506.429993,509.149994,502.179993,506.600006,418.684540,1886011
2018-09-13,507.279999,508.809998,504.730011,505.920013,418.122559,1905017
2018-09-14,505.579987,511.869995,505.070007,511.019989,422.337494,1811011
2018-09-17,512.719971,513.229980,508.809998,511.529999,422.759033,973817
2018-09-18,512.890015,516.289978,510.170013,515.099976,425.709473,2327417
2018-09-19,514.250000,523.090027,513.400024,521.219971,430.767426,2621617
2018-09-20,523.599976,529.210022,523.090027,526.830017,435.403870,2898599
2018-09-21,532.099976,535.500000,528.700012,531.590027,439.337799,6621417
2018-09-24,528.020020,532.270020,525.640015,527.000000,435.544342,1195305
2018-09-25,529.719971,530.570007,525.809998,528.869995,437.089844,1015058
2018-09-26,528.700012,529.210022,525.640015,529.039978,437.230316,901694
2018-09-27,528.869995,531.760010,524.280029,530.400024,438.354309,1287141
2018-09-28,527.679993,528.530029,517.140015,526.150024,434.841858,3265899
2018-10-01,522.070007,527.340027,507.619995,513.739990,424.585480,3572688
2018-10-02,507.959991,508.809998,501.500000,506.600006,418.684540,2350158
2018-10-03,508.130005,521.049988,508.130005,521.049988,430.626892,4506217
2018-10-04,521.390015,526.320007,517.820007,523.429993,432.593903,3365605
2018-10-05,522.580017,522.750000,510.000000,510.000000,421.494507,2761388
2018-10-08,521.900024,521.900024,503.369995,506.089996,418.263062,2987223
2018-10-09,519.349976,521.049988,510.339996,517.309998,427.535919,3657694
2018-10-10,514.929993,518.669983,510.850006,510.850006,422.197052,5599599
2018-10-11,505.239990,505.239990,489.940002,489.940002,404.915741,4636476
