name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,species
Luke Skywalker,172,77,blond,fair,blue,19BBY,male,Tatooine,Human
C-3PO,167,75,,gold,yellow,112BBY,,Tatooine,Droid
R2-D2,96,32,,"white, blue",red,33BBY,,Naboo,Droid
Darth Vader,202,136,none,white,yellow,41.9BBY,male,Tatooine,Human
Leia Organa,150,49,brown,light,brown,19BBY,female,Alderaan,Human
Owen Lars,178,120,"brown, grey",light,blue,52BBY,male,Tatooine,Human
Beru Whitesun lars,165,75,brown,light,blue,47BBY,female,Tatooine,Human
R5-D4,97,32,,"white, red",red,,,Tatooine,Droid
Biggs Darklighter,183,84,black,light,brown,24BBY,male,Tatooine,Human
Obi-Wan Kenobi,182,77,"auburn, white",fair,blue-gray,57BBY,male,Stewjon,Human
Anakin Skywalker,188,84,blond,fair,blue,41.9BBY,male,Tatooine,Human
Wilhuff Tarkin,180,,"auburn, grey",fair,blue,64BBY,male,Eriadu,Human
Chewbacca,228,112,brown,,blue,200BBY,male,Kashyyyk,Wookiee
Han Solo,180,80,brown,fair,brown,29BBY,male,Corellia,Human
Greedo,173,74,,green,black,44BBY,male,Rodia,Rodian
Jabba Desilijic Tiure,175,"1,358",,"green-tan, brown",orange,600BBY,hermaphrodite,Nal Hutta,Hutt
Wedge Antilles,170,77,brown,fair,hazel,21BBY,male,Corellia,Human
Jek Tono Porkins,180,110,brown,fair,blue,,male,Bestine IV,Human
Yoda,66,17,white,green,brown,896BBY,male,,Yoda's species
Palpatine,170,75,grey,pale,yellow,82BBY,male,Naboo,Human
Boba Fett,183,78.2,black,fair,brown,31.5BBY,male,Kamino,Human
IG-88,200,140,none,metal,red,15BBY,none,,Droid
Bossk,190,113,none,green,red,53BBY,male,Trandosha,Trandoshan
Lando Calrissian,177,79,black,dark,brown,31BBY,male,Socorro,Human
Lobot,175,79,none,light,blue,37BBY,male,Bespin,Human
Ackbar,180,83,none,brown mottle,orange,41BBY,male,Mon Cala,Mon Calamari
Mon Mothma,150,,auburn,fair,blue,48BBY,female,Chandrila,Human
Arvel Crynyd,,,brown,fair,brown,,male,,Human
Wicket Systri Warrick,88,20,brown,brown,brown,8BBY,male,Endor,Ewok
Nien Nunb,160,68,none,grey,black,,male,Sullust,Sullustan
Qui-Gon Jinn,193,89,brown,fair,blue,92BBY,male,,Human
Nute Gunray,191,90,none,mottled green,red,,male,Cato Neimoidia,Neimodian
Finis Valorum,170,,blond,fair,blue,91BBY,male,Coruscant,Human
Jar Jar Binks,196,66,none,orange,orange,52BBY,male,Naboo,Gungan
Roos Tarpals,224,82,none,grey,orange,,male,Naboo,Gungan
Rugor Nass,206,,none,green,orange,,male,Naboo,Gungan
Ric Olié,183,,brown,fair,blue,,male,Naboo,
Watto,137,,black,"blue, grey",yellow,,male,Toydaria,Toydarian
Sebulba,112,40,none,"grey, red",orange,,male,Malastare,Dug
Quarsh Panaka,183,,black,dark,brown,62BBY,male,Naboo,
Shmi Skywalker,163,,black,fair,brown,72BBY,female,Tatooine,Human
Darth Maul,175,80,none,red,yellow,54BBY,male,Dathomir,Zabrak
Bib Fortuna,180,,none,pale,pink,,male,Ryloth,Twi'lek
Ayla Secura,178,55,none,blue,hazel,48BBY,female,Ryloth,Twi'lek
Dud Bolt,94,45,none,"blue, grey",yellow,,male,Vulpter,Vulptereen
Gasgano,122,,none,"white, blue",black,,male,Troiken,Xexto
Ben Quadinaros,163,65,none,"grey, green, yellow",orange,,male,Tund,Toong
Mace Windu,188,84,none,dark,brown,72BBY,male,Haruun Kal,Human
Ki-Adi-Mundi,198,82,white,pale,yellow,92BBY,male,Cerea,Cerean
Kit Fisto,196,87,none,green,black,,male,Glee Anselm,Nautolan
Eeth Koth,171,,black,brown,brown,,male,Iridonia,Zabrak
Adi Gallia,184,50,none,dark,blue,,female,Coruscant,Tholothian
Saesee Tiin,188,,none,pale,orange,,male,Iktotch,Iktotchi
Yarael Poof,264,,none,white,yellow,,male,Quermia,Quermian
Plo Koon,188,80,none,orange,black,22BBY,male,Dorin,Kel Dor
Mas Amedda,196,,none,blue,blue,,male,Champala,Chagrian
Gregar Typho,185,85,black,dark,brown,,male,Naboo,Human
Cordé,157,,brown,light,brown,,female,Naboo,Human
Cliegg Lars,183,,brown,fair,blue,82BBY,male,Tatooine,Human
Poggle the Lesser,183,80,none,green,yellow,,male,Geonosis,Geonosian
Luminara Unduli,170,56.2,black,yellow,blue,58BBY,female,Mirial,Mirialan
Barriss Offee,166,50,black,yellow,blue,40BBY,female,Mirial,Mirialan
Dormé,165,,brown,light,brown,,female,Naboo,Human
Dooku,193,80,white,fair,brown,102BBY,male,Serenno,Human
Bail Prestor Organa,191,,black,tan,brown,67BBY,male,Alderaan,Human
Jango Fett,183,79,black,tan,brown,66BBY,male,Concord Dawn,Human
Zam Wesell,168,55,blonde,"fair, green, yellow",yellow,,female,Zolan,Clawdite
Dexter Jettster,198,102,none,brown,yellow,,male,Ojom,Besalisk
Lama Su,229,88,none,grey,black,,male,Kamino,Kaminoan
Taun We,213,,none,grey,black,,female,Kamino,Kaminoan
Jocasta Nu,167,,white,fair,blue,,female,Coruscant,Human
Ratts Tyerell,79,15,none,"grey, blue",,,male,Aleen Minor,Aleena
R4-P17,96,,none,"silver, red","red, blue",,female,,
Wat Tambor,193,48,none,"green, grey",,,male,Skako,Skakoan
San Hill,191,,none,grey,gold,,male,Muunilinst,Muun
Shaak Ti,178,57,none,"red, blue, white",black,,female,Shili,Togruta
Grievous,216,159,none,"brown, white","green, yellow",,male,Kalee,Kaleesh
Tarfful,234,136,brown,brown,blue,,male,Kashyyyk,Wookiee
Raymus Antilles,188,79,brown,light,brown,,male,Alderaan,Human
Sly Moore,178,48,none,pale,white,,female,Umbara,
Tion Medon,206,80,none,grey,black,,male,Utapau,Pau'an
Finn,,,black,dark,dark,,male,,Human
Rey,,,brown,light,hazel,,female,,Human
Poe Dameron,,,brown,light,brown,,male,,Human
BB8,,,none,none,black,,none,,Droid
Captain Phasma,,,,,,,female,,
Padmé Amidala,165,45,brown,light,brown,46BBY,female,Naboo,Human
