Postal Code,City,State,Region,Country
1040,Holyoke,Massachusetts,East,United States
1453,Leominster,Massachusetts,East,United States
1752,Marlborough,Massachusetts,East,United States
1810,Andover,Massachusetts,East,United States
1841,Lawrence,Massachusetts,East,United States
1852,Lowell,Massachusetts,East,United States
1915,Beverly,Massachusetts,East,United States
2038,Franklin,Massachusetts,East,United States
2138,Cambridge,Massachusetts,East,United States
2148,Malden,Massachusetts,East,United States
2149,Everett,Massachusetts,East,United States
2151,Revere,Massachusetts,East,United States
2169,Quincy,Massachusetts,East,United States
2740,New Bedford,Massachusetts,East,United States
2886,Warwick,Rhode Island,East,United States
2895,Woonsocket,Rhode Island,East,United States
2908,Providence,Rhode Island,East,United States
2920,Cranston,Rhode Island,East,United States
3060,Nashua,New Hampshire,East,United States
3301,Concord,New Hampshire,East,United States
3820,Dover,New Hampshire,East,United States
4240,Lewiston,Maine,East,United States
4401,Bangor,Maine,East,United States
5408,Burlington,Vermont,East,United States
6010,Bristol,Connecticut,East,United States
6040,Manchester,Connecticut,East,United States
6360,Norwich,Connecticut,East,United States
6450,Meriden,Connecticut,East,United States
6457,Middletown,Connecticut,East,United States
6460,Milford,Connecticut,East,United States
6484,Shelton,Connecticut,East,United States
6708,Waterbury,Connecticut,East,United States
6810,Danbury,Connecticut,East,United States
6824,Fairfield,Connecticut,East,United States
7002,Bayonne,New Jersey,East,United States
7011,Clifton,New Jersey,East,United States
7017,East Orange,New Jersey,East,United States
7036,Linden,New Jersey,East,United States
7050,Orange,New Jersey,East,United States
7055,Passaic,New Jersey,East,United States
7060,Plainfield,New Jersey,East,United States
7090,Westfield,New Jersey,East,United States
7109,Belleville,New Jersey,East,United States
7501,Paterson,New Jersey,East,United States
7601,Hackensack,New Jersey,East,United States
7960,Morristown,New Jersey,East,United States
8302,Bridgeton,New Jersey,East,United States
8360,Vineland,New Jersey,East,United States
8401,Atlantic City,New Jersey,East,United States
8701,Lakewood,New Jersey,East,United States
8861,Perth Amboy,New Jersey,East,United States
8901,New Brunswick,New Jersey,East,United States
10009,New York City,New York,East,United States
10011,New York City,New York,East,United States
10024,New York City,New York,East,United States
10035,New York City,New York,East,United States
10550,Mount Vernon,New York,East,United States
10701,Yonkers,New York,East,United States
10801,New Rochelle,New York,East,United States
11520,Freeport,New York,East,United States
11550,Hempstead,New York,East,United States
11561,Long Beach,New York,East,United States
11572,Oceanside,New York,East,United States
11757,Lindenhurst,New York,East,United States
12180,Troy,New York,East,United States
13021,Auburn,New York,East,United States
13440,Rome,New York,East,United States
13501,Utica,New York,East,United States
13601,Watertown,New York,East,United States
14215,Buffalo,New York,East,United States
14304,Niagara Falls,New York,East,United States
14609,Rochester,New York,East,United States
14701,Jamestown,New York,East,United States
16602,Altoona,Pennsylvania,East,United States
17403,York,Pennsylvania,East,United States
17602,Lancaster,Pennsylvania,East,United States
18018,Bethlehem,Pennsylvania,East,United States
18103,Allentown,Pennsylvania,East,United States
19013,Chester,Pennsylvania,East,United States
19120,Philadelphia,Pennsylvania,East,United States
19134,Philadelphia,Pennsylvania,East,United States
19140,Philadelphia,Pennsylvania,East,United States
19143,Philadelphia,Pennsylvania,East,United States
19601,Reading,Pennsylvania,East,United States
19711,Newark,Delaware,East,United States
19805,Wilmington,Delaware,East,United States
19901,Dover,Delaware,East,United States
20016,Washington,District of Columbia,East,United States
20707,Laurel,Maryland,East,United States
20735,Clinton,Maryland,East,United States
20852,Rockville,Maryland,East,United States
20877,Gaithersburg,Maryland,East,United States
21044,Columbia,Maryland,East,United States
21215,Baltimore,Maryland,East,United States
21740,Hagerstown,Maryland,East,United States
22153,Springfield,Virginia,South,United States
22204,Arlington,Virginia,South,United States
22304,Alexandria,Virginia,South,United States
22801,Harrisonburg,Virginia,South,United States
22901,Charlottesville,Virginia,South,United States
22980,Waynesboro,Virginia,South,United States
23223,Richmond,Virginia,South,United States
23320,Chesapeake,Virginia,South,United States
23434,Suffolk,Virginia,South,United States
23464,Virginia Beach,Virginia,South,United States
23602,Newport News,Virginia,South,United States
23666,Hampton,Virginia,South,United States
24153,Salem,Virginia,South,United States
26003,Wheeling,West Virginia,East,United States
27217,Burlington,North Carolina,South,United States
27360,Thomasville,North Carolina,South,United States
27405,Greensboro,North Carolina,South,United States
27511,Cary,North Carolina,South,United States
27514,Chapel Hill,North Carolina,South,United States
27534,Goldsboro,North Carolina,South,United States
27604,Raleigh,North Carolina,South,United States
27707,Durham,North Carolina,South,United States
27834,Greenville,North Carolina,South,United States
27893,Wilson,North Carolina,South,United States
28027,Concord,North Carolina,South,United States
28052,Gastonia,North Carolina,South,United States
28110,Monroe,North Carolina,South,United States
28205,Charlotte,North Carolina,South,United States
28314,Fayetteville,North Carolina,South,United States
28403,Wilmington,North Carolina,South,United States
28540,Jacksonville,North Carolina,South,United States
28601,Hickory,North Carolina,South,United States
28806,Asheville,North Carolina,South,United States
29203,Columbia,South Carolina,South,United States
29406,North Charleston,South Carolina,South,United States
29464,Mount Pleasant,South Carolina,South,United States
29483,Summerville,South Carolina,South,United States
29501,Florence,South Carolina,South,United States
29730,Rock Hill,South Carolina,South,United States
30062,Marietta,Georgia,South,United States
30076,Roswell,Georgia,South,United States
30080,Smyrna,Georgia,South,United States
30188,Woodstock,Georgia,South,United States
30318,Atlanta,Georgia,South,United States
30328,Sandy Springs,Georgia,South,United States
30344,East Point,Georgia,South,United States
30605,Athens,Georgia,South,United States
31088,Warner Robins,Georgia,South,United States
31204,Macon,Georgia,South,United States
31907,Columbus,Georgia,South,United States
32114,Daytona Beach,Florida,South,United States
32127,Port Orange,Florida,South,United States
