Order ID,Order Date,Ship Date,Ship Mode
CA-2014-100006,2014-09-07 00:00:00,2014-09-13 00:00:00,Standard Class
CA-2014-100090,2014-07-08 00:00:00,2014-07-12 00:00:00,Standard Class
CA-2014-100293,2014-03-14 00:00:00,2014-03-18 00:00:00,Standard Class
CA-2014-100328,2014-01-28 00:00:00,2014-02-03 00:00:00,Standard Class
CA-2014-100363,2014-04-08 00:00:00,2014-04-15 00:00:00,Standard Class
CA-2014-100391,2014-05-25 00:00:00,2014-05-29 00:00:00,Standard Class
CA-2014-100678,2014-04-18 00:00:00,2014-04-22 00:00:00,Standard Class
CA-2014-100706,2014-12-16 00:00:00,2014-12-18 00:00:00,Second Class
CA-2014-100762,2014-11-24 00:00:00,2014-11-29 00:00:00,Standard Class
CA-2014-100860,2014-03-26 00:00:00,2014-03-30 00:00:00,Second Class
CA-2014-100867,2014-10-19 00:00:00,2014-10-24 00:00:00,Standard Class
CA-2014-100881,2014-03-28 00:00:00,2014-04-01 00:00:00,Standard Class
CA-2014-100895,2014-06-02 00:00:00,2014-06-06 00:00:00,Standard Class
CA-2014-100916,2014-10-21 00:00:00,2014-10-26 00:00:00,Standard Class
CA-2014-100972,2014-11-19 00:00:00,2014-11-24 00:00:00,Second Class
CA-2014-101147,2014-12-02 00:00:00,2014-12-04 00:00:00,First Class
CA-2014-101175,2014-12-09 00:00:00,2014-12-14 00:00:00,Standard Class
CA-2014-101266,2014-08-27 00:00:00,2014-08-30 00:00:00,Second Class
CA-2014-101364,2014-12-22 00:00:00,2014-12-26 00:00:00,Standard Class
CA-2014-101392,2014-12-07 00:00:00,2014-12-13 00:00:00,Standard Class
CA-2014-101427,2014-12-26 00:00:00,2014-12-30 00:00:00,Standard Class
CA-2014-101462,2014-04-20 00:00:00,2014-04-25 00:00:00,Standard Class
CA-2014-101476,2014-09-12 00:00:00,2014-09-13 00:00:00,First Class
CA-2014-101560,2014-11-28 00:00:00,2014-12-01 00:00:00,Second Class
CA-2014-101602,2014-12-15 00:00:00,2014-12-18 00:00:00,First Class
CA-2014-101770,2014-03-31 00:00:00,2014-04-04 00:00:00,Standard Class
CA-2014-101833,2014-11-17 00:00:00,2014-11-22 00:00:00,Second Class
CA-2014-101931,2014-10-28 00:00:00,2014-10-31 00:00:00,First Class
CA-2014-102008,2014-09-30 00:00:00,2014-10-04 00:00:00,Standard Class
CA-2014-102085,2014-10-04 00:00:00,2014-10-09 00:00:00,Standard Class
CA-2014-102274,2014-11-21 00:00:00,2014-11-26 00:00:00,Standard Class
CA-2014-102295,2014-11-24 00:00:00,2014-11-26 00:00:00,Second Class
CA-2014-102330,2014-12-29 00:00:00,2015-01-03 00:00:00,Standard Class
CA-2014-102645,2014-01-23 00:00:00,2014-01-28 00:00:00,Standard Class
CA-2014-102652,2014-04-06 00:00:00,2014-04-12 00:00:00,Standard Class
CA-2014-102673,2014-11-01 00:00:00,2014-11-05 00:00:00,Standard Class
CA-2014-102869,2014-09-09 00:00:00,2014-09-14 00:00:00,Second Class
CA-2014-102988,2014-04-05 00:00:00,2014-04-09 00:00:00,Second Class
CA-2014-103058,2014-07-23 00:00:00,2014-07-24 00:00:00,First Class
CA-2014-103086,2014-10-17 00:00:00,2014-10-19 00:00:00,Second Class
CA-2014-103100,2014-12-20 00:00:00,2014-12-23 00:00:00,First Class
CA-2014-103191,2014-09-22 00:00:00,2014-09-27 00:00:00,Standard Class
