Athlete,Country,Rank,Running Time,Swimming Time,Cycling Time,Other Time,Total Time
 Jan Frodeno,GER,1,1846,1094,3541,52,6533
 Simon Whitfield,CAN,2,1848,1098,3536,56.47,6538.47
 Bevan Docherty,NZL,3,1857,1103,3531,54.59,6545.59
 Javier Gómez,ESP,4,1863,1088,3546,56.92,6553.92
 Iván Raña,ESP,5,1874,1102,3532,54.03,6562.03
 Daniel Unger,GER,6,1895,1105,3529,54.78,6583.78
 Hunter Kemper,USA,7,1900,1084,3546,58.75,6588.75
 Rasmus Henning,DEN,8,1908,1098,3537,54.47,6597.47
 Igor Sysoyev,RUS,9,1901,1082,3555,61.38,6599.38
 Frédéric Belaubre,FRA,10,1908,1083,3551,58.3,6600.3
 Courtney Atkinson,AUS,11,1920,1086,3548,56.02,6610.02
 Alistair Brownlee,GBR,12,1927,1091,3545,56.62,6619.62
 Axel Zeebroek,BEL,13,1995,1110,3468,57.9,6630.9
 William Clarke,GBR,14,1938,1133,3503,58.07,6632.07
 Christian Prochnow,GER,15,1941,1103,3536,53.9,6633.9
 Brad Kahlefeldt,AUS,16,1946,1097,3536,57,6636
 Bruno Pais,POR,17,1952,1108,3527,53.22,6640.22
 Jarrod Shoemaker,USA,18,1947,1099,3543,57.39,6646.39
 Olivier Marceau,SUI,19,1957,1135,3498,60.07,6650.07
 Filip Ospaly,CZE,20,1961,1097,3536,59.69,6653.69
 Daniil Sapunov,KAZ,21,1962,1091,3545,60.98,6658.98
 Dmitry Polyanski,RUS,22,1973,1095,3547,56.61,6671.61
 Sven Riederer,SUI,23,1991,1094,3532,62.45,6679.45
 Alexander Brukhankov,RUS,24,1981,1090,3548,63.59,6682.59
 Dirk Bockel,LUX,25,2059,1106,3472,54.01,6691.01
 Juraci Moreira,BRA,26,2002,1104,3530,59.57,6695.57
 Peter Croes,BEL,27,2005,1106,3531,58.94,6700.94
 Paul Tichelaar,CAN,28,2014,1104,3531,57.81,6706.81
 Reto Hug,SUI,29,2033,1135,3500,56.93,6724.93
 Ryosuke Yamamoto,JPN,30,2036,1107,3533,55.98,6731.98
 Sander Berk,NED,31,2037,1093,3546,62.09,6738.09
 Matthew Reed,USA,32,2059,1105,3528,58.44,6750.44
 Daniel Fontana,ITA,33,2066,1102,3535,56.21,6759.21
 Shane Reed,NZL,34,2074,1080,3559,55.16,6768.16
 Volodymyr Polikarpenko,UKR,35,2072,1103,3538,58.74,6771.74
 Laurent Vidal,FRA,36,2091,1129,3504,58.79,6782.79
 Reinaldo Colucci,BRA,37,2096,1132,3508,57.94,6793.94
 Simon Agoston,AUT,38,2102,1100,3540,61.98,6803.98
 Kris Gemmell,NZL,39,2142,1121,3514,52.47,6829.47
 Emilio D'Aquino,ITA,40,2143,1102,3536,57.22,6838.22
 Marko Albert,EST,41,2154,1089,3552,58.58,6853.58
 Christopher Felgate,ZIM,42,2169,1101,3540,61.61,6871.61
 Daniel Lee Chi Wo,HKG,43,2182,1134,3504,60.78,6880.78
 Francisco Serrano,MEX,44,2202,1136,3488,60.09,6886.09
 Duarte Silva Marques,POR,45,2207,1100,3546,53.57,6906.57
 Wang Daqing,CHN,46,2237,1086,3555,63.87,6941.87
 Csaba Kuttor,HUN,47,2247,1089,3553,64.38,6953.38
 Hirokatsu Tayama,JPN,48,2278,1084,3552,59.68,6973.68
 Omar Tayara,SYR,49,2299,1103,3536,62.54,7000.54
 Colin Jenkins,CAN,50,2319,1092,3539,60.85,7010.85
